ticker,OGE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9737
2000-01-04,-0.6711
2000-01-05,4.0541
2000-01-06,0.1039
2000-01-07,0.9901
2000-01-10,-1.634
2000-01-11,-1.3289
2000-01-12,-0.6734
2000-01-13,2.3729
2000-01-14,-1.9868000000000001
2000-01-18,-1.0135
2000-01-19,-0.3413
2000-01-20,0.3425
2000-01-21,2.7304
2000-01-24,-0.3322
2000-01-25,-1.3333
2000-01-26,3.7161999999999997
2000-01-27,1.6287
2000-01-28,0.3205
2000-01-31,3.8339
2000-02-01,-1.8462
2000-02-02,2.1944
2000-02-03,2.454
2000-02-04,-2.0958
2000-02-07,-1.8349
2000-02-08,-0.6231
2000-02-09,-0.3135
2000-02-10,-1.5723
2000-02-11,-1.278
2000-02-14,2.589
2000-02-15,-0.6309
2000-02-16,-0.9524
2000-02-17,-2.2436
2000-02-18,-0.6557
2000-02-22,-0.6601
2000-02-23,-2.3256
2000-02-24,-2.3810000000000002
2000-02-25,-1.3937
2000-02-28,-2.4735
2000-02-29,-0.3623
2000-03-01,-1.0909
2000-03-02,0.7353
2000-03-03,-0.365
2000-03-06,-2.9304
2000-03-07,1.8868
2000-03-08,0.7407
2000-03-09,0.7353
2000-03-10,-0.7299
2000-03-13,-0.7353
2000-03-14,-1.4815
2000-03-15,6.015
2000-03-16,5.3191
2000-03-17,-3.7037
2000-03-20,0.0
2000-03-21,-0.6993
2000-03-22,-2.1127
2000-03-23,2.1583
2000-03-24,0.7042
2000-03-27,0.0
2000-03-28,-1.049
2000-03-29,2.1201
2000-03-30,4.4983
2000-03-31,1.6556
2000-04-03,0.0
2000-04-04,0.0
2000-04-05,3.9088000000000003
2000-04-06,-2.4074999999999998
2000-04-07,-0.3268
2000-04-10,2.2951
2000-04-11,0.641
2000-04-12,0.3185
2000-04-13,1.2698
2000-04-14,-2.1944
2000-04-17,0.9615
2000-04-18,0.3175
2000-04-19,-1.5823
2000-04-20,0.3215
2000-04-24,0.641
2000-04-25,1.2739
2000-04-26,3.1447
2000-04-27,-2.7439
2000-04-28,-0.627
2000-05-01,-0.6309
2000-05-02,-2.8571
2000-05-03,-0.3268
2000-05-04,2.9508
2000-05-05,-1.9108
2000-05-08,3.5714
2000-05-09,1.8809
2000-05-10,0.3077
2000-05-11,2.7607
2000-05-12,-2.0896
2000-05-15,1.8293
2000-05-16,-2.6946
2000-05-17,-0.6154
2000-05-18,2.1672
2000-05-19,-0.9091
2000-05-22,3.0581
