ticker,GF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0612
2000-01-04,-4.7368
2000-01-05,2.7624
2000-01-06,0.0
2000-01-07,5.914
2000-01-10,1.0152
2000-01-11,-1.005
2000-01-12,0.5076
2000-01-13,3.0303
2000-01-14,0.9804
2000-01-18,-1.4563
2000-01-19,0.0
2000-01-20,-0.9852
2000-01-21,0.4975
2000-01-24,0.9901
2000-01-25,1.9607999999999999
2000-01-26,-0.9615
2000-01-27,0.0
2000-01-28,-2.9126
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,1.5
2000-02-03,1.9704000000000002
2000-02-04,0.4831
2000-02-07,0.4808
2000-02-08,3.3493
2000-02-09,1.8519
2000-02-10,0.4545
2000-02-11,-2.2624
2000-02-14,0.463
2000-02-15,0.0
2000-02-16,-0.9217
2000-02-17,1.3953
2000-02-18,0.0
2000-02-22,3.6696999999999997
2000-02-23,2.2124
2000-02-24,-0.8658
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,0.4367
2000-03-01,0.8696
2000-03-02,0.431
2000-03-03,2.1459
2000-03-06,0.8403
2000-03-07,-0.8333
2000-03-08,2.1008
2000-03-09,-0.4115
2000-03-10,-0.4132
2000-03-13,0.8299
2000-03-14,3.2922000000000002
2000-03-15,-0.7968
2000-03-16,4.4177
2000-03-17,-1.9231
2000-03-20,-0.3922
2000-03-21,-1.9685000000000001
2000-03-22,0.0
2000-03-23,0.4016
2000-03-24,-1.6
2000-03-27,-0.4065
2000-03-28,-0.4082
2000-03-29,0.0
2000-03-30,-3.2787
2000-03-31,0.0
2000-04-03,-3.3898
2000-04-04,-3.5088
2000-04-05,-0.4545
2000-04-06,1.3699
2000-04-07,3.6036
2000-04-10,1.7391
2000-04-11,-2.1368
2000-04-12,-0.4367
2000-04-13,-4.386
2000-04-14,-8.2569
2000-04-17,3.0
2000-04-18,2.9126
2000-04-19,-1.8868
2000-04-20,0.4808
2000-04-24,-0.9569
2000-04-25,2.4154999999999998
2000-04-26,0.0
2000-04-27,-1.4151
2000-04-28,0.4785
2000-05-01,1.4285999999999999
2000-05-02,0.0
2000-05-03,-3.7559
2000-05-04,1.9512
2000-05-05,2.3923
2000-05-08,-0.4673
2000-05-09,0.4695
2000-05-10,-3.271
2000-05-11,3.3816
2000-05-12,0.0
2000-05-15,-0.9346
2000-05-16,2.3585
2000-05-17,-4.6083
2000-05-18,0.4831
2000-05-19,-1.4423
2000-05-22,-0.9756
2000-05-23,-0.4926
