ticker,OO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.2472
2000-01-04,-3.2967
2000-01-05,0.0
2000-01-06,2.2727
2000-01-07,-1.1111
2000-01-10,1.1236
2000-01-11,-1.1111
2000-01-12,-1.1236
2000-01-13,-1.1364
2000-01-14,3.4483
2000-01-18,0.0
2000-01-19,-1.1111
2000-01-20,2.2472
2000-01-21,0.0
2000-01-24,-2.1978
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,1.1236
2000-01-28,0.0
2000-01-31,-4.4444
2000-02-01,-1.1628
2000-02-02,9.4118
2000-02-03,9.6774
2000-02-04,2.9412000000000003
2000-02-07,-0.9524
2000-02-08,0.0
2000-02-09,-3.8462
2000-02-10,3.0
2000-02-11,-3.8834999999999997
2000-02-14,4.0404
2000-02-15,-2.9126
2000-02-16,14.0
2000-02-17,5.2632
2000-02-18,-5.0
2000-02-22,7.0175
2000-02-23,8.1967
2000-02-24,-1.5152
2000-02-25,0.7692
2000-02-28,-2.2901
2000-02-29,7.8125
2000-03-01,-5.7971
2000-03-02,0.7692
2000-03-03,0.7634
2000-03-06,1.5152
2000-03-07,-0.7463
2000-03-08,3.7594
2000-03-09,1.4493
2000-03-10,2.8571
2000-03-13,-1.3889
2000-03-14,-0.7042
2000-03-15,1.4184
2000-03-16,0.6993
2000-03-17,-2.7778
2000-03-20,-2.8571
2000-03-21,5.8824
2000-03-22,0.0
2000-03-23,6.25
2000-03-24,-0.6536
2000-03-27,3.9474
2000-03-28,1.8987
2000-03-29,1.2422
2000-03-30,4.908
2000-03-31,-0.5848
2000-04-03,-5.8824
2000-04-04,2.5
2000-04-05,-1.8293
2000-04-06,-0.6211
2000-04-07,1.6800000000000002
2000-04-10,-0.4229
2000-04-11,1.8519
2000-04-12,6.6667
2000-04-13,-2.2727
2000-04-14,-8.1395
2000-04-17,1.8987
2000-04-18,-4.6193
2000-04-19,13.9597
2000-04-20,2.8571
2000-04-24,5.5556
2000-04-25,1.5789
2000-04-26,-6.2176
2000-04-27,4.9724
2000-04-28,-3.1579
2000-05-01,0.0
2000-05-02,-2.1739
2000-05-03,-0.5556
2000-05-04,-1.6760000000000002
2000-05-05,1.7045
2000-05-08,-5.5866
2000-05-09,5.3254
2000-05-10,-0.5618
2000-05-11,0.565
2000-05-12,-2.2472
2000-05-15,-1.7241
2000-05-16,1.7544
2000-05-17,1.7241
2000-05-18,0.0
2000-05-19,-0.565
2000-05-22,-1.1364
2000-05-23,-2.8736
