ticker,AXE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7273
2000-01-04,-0.9346
2000-01-05,0.0
2000-01-06,0.3145
2000-01-07,0.3135
2000-01-10,1.25
2000-01-11,-1.2346
2000-01-12,-1.875
2000-01-13,7.3248
2000-01-14,0.0
2000-01-18,0.8902
2000-01-19,-0.2941
2000-01-20,2.6549
2000-01-21,-2.5862
2000-01-24,3.8348
2000-01-25,-7.6705
2000-01-26,0.9231
2000-01-27,-3.0488
2000-01-28,0.3145
2000-01-31,-1.2539
2000-02-01,1.2698
2000-02-02,2.8213
2000-02-03,1.2195
2000-02-04,0.9036
2000-02-07,3.2836
2000-02-08,-2.6012
2000-02-09,-1.1869
2000-02-10,0.9009
2000-02-11,2.0833
2000-02-14,-2.0408
2000-02-15,1.1905000000000001
2000-02-16,-1.1764999999999999
2000-02-17,-0.5952
2000-02-18,-2.0958
2000-02-22,-2.4465
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,-0.3135
2000-02-29,-5.9748
2000-03-01,3.3445
2000-03-02,1.6181
2000-03-03,2.5478
2000-03-06,0.3106
2000-03-07,-1.548
2000-03-08,-0.9434
2000-03-09,1.5873
2000-03-10,-1.5625
2000-03-13,22.5397
2000-03-14,-4.4041
2000-03-15,1.897
2000-03-16,2.6596
2000-03-17,2.3316
2000-03-20,5.5696
2000-03-21,2.1583
2000-03-22,7.9812
2000-03-23,-2.6087
2000-03-24,6.25
2000-03-27,0.6303
2000-03-28,-4.5929
2000-03-29,-2.6258
2000-03-30,3.8202
2000-03-31,-3.4632
2000-04-03,0.4484
2000-04-04,-4.2411
2000-04-05,2.5641
2000-04-06,0.2273
2000-04-07,5.2154
2000-04-10,0.431
2000-04-11,-3.0043
2000-04-12,-1.5487
2000-04-13,1.1236
2000-04-14,-0.8889
2000-04-17,-0.2242
2000-04-18,3.1461
2000-04-19,2.8322000000000003
2000-04-20,-2.3305
2000-04-24,-3.2538
2000-04-25,6.2780000000000005
2000-04-26,4.2194
2000-04-27,8.2996
2000-04-28,0.7477
2000-05-01,-0.1855
2000-05-02,1.1152
2000-05-03,-5.8824
2000-05-04,0.0
2000-05-05,1.3672
2000-05-08,-2.1195
2000-05-09,-0.5906
2000-05-10,-3.7624
2000-05-11,3.2922000000000002
2000-05-12,0.996
2000-05-15,-1.5779
2000-05-16,-7.014
2000-05-17,0.8621
2000-05-18,-5.3419
2000-05-19,-2.4831
2000-05-22,1.6204
2000-05-23,1.3667
