ticker,CLE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.3966
2000-01-04,1.1331
2000-01-05,-2.521
2000-01-06,4.3103
2000-01-07,3.5813
2000-01-10,0.266
2000-01-11,-3.183
2000-01-12,-3.2877
2000-01-13,-1.4163999999999999
2000-01-14,-2.5862
2000-01-18,0.885
2000-01-19,1.462
2000-01-20,-2.8818
2000-01-21,-5.3412
2000-01-24,-0.9404
2000-01-25,-2.8481
2000-01-26,3.5831
2000-01-27,-4.4025
2000-01-28,0.0
2000-01-31,-1.1053
2000-02-01,0.0
2000-02-02,-3.0
2000-02-03,0.0
2000-02-04,-1.0309
2000-02-07,2.7778
2000-02-08,0.0
2000-02-09,-1.0135
2000-02-10,0.0
2000-02-11,-3.7542999999999997
2000-02-14,4.9645
2000-02-15,-1.3514
2000-02-16,-2.3973
2000-02-17,-0.7018
2000-02-18,-4.2403
2000-02-22,2.583
2000-02-23,1.7986
2000-02-24,-6.0071
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,4.8872
2000-03-01,-1.0753
2000-03-02,-2.5362
2000-03-03,-1.8587
2000-03-06,-0.3788
2000-03-07,-1.5209000000000001
2000-03-08,3.0888
2000-03-09,2.6217
2000-03-10,-1.0949
2000-03-13,-4.059
2000-03-14,1.5385
2000-03-15,6.0606
2000-03-16,14.2857
2000-03-17,-3.4375
2000-03-20,0.6472
2000-03-21,-1.2862
2000-03-22,-1.9544000000000001
2000-03-23,-4.9834
2000-03-24,3.8462
2000-03-27,3.367
2000-03-28,0.3257
2000-03-29,-1.9481000000000002
2000-03-30,3.9735
2000-03-31,2.2293
2000-04-03,-2.8037
2000-04-04,6.7308
2000-04-05,1.5015
2000-04-06,5.0296
2000-04-07,-1.1268
2000-04-10,-0.8547
2000-04-11,2.5862
2000-04-12,-1.9607999999999999
2000-04-13,-18.8571
2000-04-14,0.0
2000-04-17,-2.8169
2000-04-18,0.0
2000-04-19,1.087
2000-04-20,-0.3584
2000-04-24,1.4388
2000-04-25,2.1277
2000-04-26,1.7361
2000-04-27,-0.6826
2000-04-28,1.3746
2000-05-01,3.9458
2000-05-02,-2.9412000000000003
2000-05-03,-2.3569
2000-05-04,-4.8276
2000-05-05,3.2609
2000-05-08,-0.3509
2000-05-09,0.7042
2000-05-10,1.7483
2000-05-11,3.7801
2000-05-12,0.6623
2000-05-15,0.6579
2000-05-16,4.5752
2000-05-17,-0.625
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,0.0
2000-05-23,0.9434
