ticker,MRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6129
2000-01-04,-1.6393
2000-01-05,0.8333
2000-01-06,1.6529
2000-01-07,4.878
2000-01-10,-1.5504
2000-01-11,0.0
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,-2.3622
2000-01-18,2.4194
2000-01-19,1.5748
2000-01-20,1.5504
2000-01-21,0.7634
2000-01-24,0.7576
2000-01-25,0.0
2000-01-27,0.7519
2000-01-28,-0.7463
2000-01-31,-0.7519
2000-02-01,0.7576
2000-02-02,-0.7519
2000-02-03,-0.7576
2000-02-04,0.0
2000-02-07,0.3817
2000-02-08,0.3802
2000-02-09,0.0
2000-02-10,0.3788
2000-02-11,0.0
2000-02-14,0.7547
2000-02-15,-0.7491
2000-02-16,0.3774
2000-02-17,0.0
2000-02-18,0.7519
2000-02-22,0.3731
2000-02-23,1.1152
2000-02-24,0.0
2000-02-25,2.9412000000000003
2000-02-28,0.0
2000-03-01,-2.8571
2000-03-02,-0.7353
2000-03-03,-1.4815
2000-03-06,2.2556
2000-03-07,3.6765
2000-03-08,2.8369
2000-03-09,1.0345
2000-03-10,-0.6826
2000-03-13,-1.0309
2000-03-14,0.0
2000-03-15,0.6944
2000-03-16,1.3793
2000-03-17,0.6803
2000-03-20,0.6757
2000-03-21,-0.6711
2000-03-22,4.7297
2000-03-23,-1.2903
2000-03-24,3.268
2000-03-27,0.0
2000-03-28,0.3165
2000-03-29,-1.8927
2000-03-30,-0.6431
2000-03-31,-1.2945
2000-04-03,-0.3279
2000-04-04,-1.9737
2000-04-05,-0.6711
2000-04-07,0.0
2000-04-10,1.3514
2000-04-11,-0.6667
2000-04-12,0.0
2000-04-14,-2.6846
2000-04-17,-0.6897
2000-04-19,1.3889
2000-04-20,0.3425
2000-04-24,0.3413
2000-04-25,1.7006999999999999
2000-04-26,0.3344
2000-04-27,-0.3333
2000-04-28,1.6722000000000001
2000-05-01,1.9737
2000-05-02,-0.3226
2000-05-03,-2.589
2000-05-04,0.0
2000-05-05,1.3289
2000-05-08,-0.3279
2000-05-11,-1.3158
2000-05-15,0.6667
2000-05-16,-0.3311
2000-05-17,0.9967
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,-1.9737
2000-05-25,1.3423
2000-05-26,-1.9868000000000001
2000-05-30,-0.3378
2000-05-31,-0.339
2000-06-01,0.0
2000-06-02,0.0
2000-06-05,0.3401
2000-06-06,-1.3559
2000-06-07,-0.6873
