ticker,CRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,25.1678
2000-01-04,-5.0603
2000-01-05,-9.9188
2000-01-06,0.9404
2000-01-07,16.1102
2000-01-10,29.455
2000-01-11,-7.6446
2000-01-12,-3.8031
2000-01-13,0.8721
2000-01-14,6.9741
2000-01-18,-4.7414
2000-01-19,-2.2624
2000-01-20,4.8611
2000-01-21,18.1567
2000-01-24,-14.4325
2000-01-25,13.3188
2000-01-26,-5.2505
2000-01-27,-5.6431000000000004
2000-01-28,-9.4828
2000-01-31,-3.8095
2000-02-01,11.3861
2000-02-02,1.3889
2000-02-03,0.3836
2000-02-04,-5.0218
2000-02-07,14.4828
2000-02-08,-5.6225000000000005
2000-02-09,-1.2766
2000-02-10,13.4159
2000-02-11,-3.848
2000-02-14,-1.9763
2000-02-15,6.4516
2000-02-16,10.6061
2000-02-17,2.3545
2000-02-18,5.6671
2000-02-22,-5.4027
2000-02-23,11.7992
2000-02-24,34.7305
2000-02-25,7.5556
2000-02-28,-1.2397
2000-02-29,2.0921
2000-03-01,-3.4836
2000-03-02,-2.3355
2000-03-03,1.9565000000000001
2000-03-06,5.3305
2000-03-07,-12.9555
2000-03-08,-4.6512
2000-03-09,0.0305
2000-03-10,-1.4020000000000001
2000-03-13,-6.5224
2000-03-14,-18.5185
2000-03-15,-5.1948
2000-03-16,-5.4795
2000-03-17,-5.7971
2000-03-20,-22.3077
2000-03-21,4.9505
2000-03-22,18.3962
2000-03-23,-4.4821
2000-03-24,2.1898
2000-03-27,-5.8163
2000-03-28,-7.2589
2000-03-29,-13.0841
2000-03-30,-3.2258
2000-03-31,2.3611
2000-04-03,-12.076
2000-04-04,-9.1049
2000-04-05,56.1969
2000-04-06,24.3478
2000-04-07,-8.8287
2000-04-10,-23.2982
2000-04-11,-9.0
2000-04-12,-12.0879
2000-04-13,10.0
2000-04-14,-15.9091
2000-04-17,-4.0541
2000-04-18,8.4507
2000-04-19,0.974
2000-04-20,-3.6174
2000-04-24,-6.5888
2000-04-25,-1.4285999999999999
2000-04-26,0.0
2000-04-27,-3.6231999999999998
2000-04-28,24.4361
2000-05-01,19.6375
2000-05-02,-12.7525
2000-05-03,-2.822
2000-05-04,2.755
2000-05-05,3.7681
2000-05-08,4.7486
2000-05-09,-8.2667
2000-05-10,-4.2878
2000-05-11,-1.7464
2000-05-12,1.391
2000-05-15,-2.1341
2000-05-16,4.6729
2000-05-17,-3.1994
2000-05-18,-6.5334
2000-05-19,-5.6743
