ticker,CEG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0948
2000-01-04,0.8989
2000-01-05,3.5635
2000-01-06,1.7204000000000002
2000-01-07,1.4799
2000-01-10,-2.2917
2000-01-11,-1.2793
2000-01-12,2.8078
2000-01-13,-0.6303
2000-01-14,-2.3256
2000-01-18,-4.5455
2000-01-19,2.7211
2000-01-20,0.2208
2000-01-21,2.2026
2000-01-24,0.8621
2000-01-25,0.641
2000-01-26,1.2739
2000-01-27,0.6289
2000-01-28,-1.25
2000-01-31,1.6878
2000-02-01,-0.2075
2000-02-02,0.0
2000-02-03,3.3264
2000-02-04,-1.006
2000-02-07,1.626
2000-02-08,4.0
2000-02-09,0.1923
2000-02-10,0.3839
2000-02-11,0.956
2000-02-14,0.3788
2000-02-15,-0.1887
2000-02-16,-0.189
2000-02-17,-1.5152
2000-02-18,-2.5
2000-02-22,0.0
2000-02-23,-3.3531
2000-02-24,-2.8571
2000-02-25,-0.8403
2000-02-28,1.4830999999999999
2000-02-29,-0.6263
2000-03-01,-2.521
2000-03-02,3.2328
2000-03-03,0.8351
2000-03-06,-2.4845
2000-03-07,1.4862
2000-03-08,2.2427
2000-03-09,-1.4523
2000-03-10,0.4211
2000-03-13,1.6771
2000-03-14,-2.4742
2000-03-15,2.537
2000-03-16,3.299
2000-03-17,-3.1936
2000-03-20,0.6186
2000-03-21,-0.6148
2000-03-22,-2.268
2000-03-23,1.2658
2000-03-24,0.4167
2000-03-27,0.6224
2000-03-28,-0.8247
2000-03-29,1.4553
2000-03-30,4.5082
2000-03-31,0.0
2000-04-03,-1.3725
2000-04-04,2.5845000000000002
2000-04-05,2.1318
2000-04-06,-2.4668
2000-04-07,-0.5837
2000-04-10,2.1526
2000-04-11,0.3831
2000-04-12,2.2901
2000-04-13,1.306
2000-04-14,-2.2099
2000-04-17,0.1883
2000-04-18,-0.188
2000-04-19,-0.565
2000-04-20,0.947
2000-04-24,3.0019
2000-04-25,1.6393
2000-04-26,1.2545
2000-04-27,-3.8938
2000-04-28,-2.5783
2000-05-01,-0.9452
2000-05-02,-0.9542
2000-05-03,1.1561
2000-05-04,1.9048
2000-05-05,-2.243
2000-05-08,3.4417
2000-05-09,0.7394
2000-05-10,1.1009
2000-05-11,1.2704
2000-05-12,-1.9713
2000-05-15,1.4625
2000-05-16,-1.0811
2000-05-17,-1.8215
2000-05-18,1.6698
2000-05-19,0.1825
2000-05-22,1.0929
2000-05-23,-2.5225
2000-05-24,2.2181
