ticker,WAMUQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4154999999999998
2000-01-04,-4.9505
2000-01-05,-1.8229
2000-01-06,2.9177999999999997
2000-01-07,5.1546
2000-01-10,-3.4314
2000-01-11,-1.0152
2000-01-12,-1.5385
2000-01-13,6.25
2000-01-14,-1.7157
2000-01-18,-2.2444
2000-01-19,-4.8469
2000-01-20,-6.4343
2000-01-21,3.1519
2000-01-24,4.4444
2000-01-25,0.0
2000-01-26,5.8511
2000-01-27,1.8392
2000-01-28,-2.2444
2000-01-31,3.5714
2000-02-01,2.4631
2000-02-02,-3.3654
2000-02-03,1.2438
2000-02-04,-3.4398
2000-02-07,-3.8167999999999997
2000-02-08,1.8519
2000-02-09,-4.4156
2000-02-10,-2.1739
2000-02-11,1.3889
2000-02-14,-0.274
2000-02-15,-0.2747
2000-02-16,-1.9284
2000-02-17,0.8427
2000-02-18,-2.7855
2000-02-22,4.298
2000-02-23,-3.022
2000-02-24,2.8329
2000-02-25,-1.6529
2000-02-28,0.8403
2000-02-29,-1.6667
2000-03-01,0.2825
2000-03-02,0.8451
2000-03-03,3.352
2000-03-06,-0.2703
2000-03-07,-1.355
2000-03-08,1.0989
2000-03-09,-2.4457
2000-03-10,-2.7855
2000-03-13,2.0057
2000-03-14,-1.4045
2000-03-15,18.5185
2000-03-16,1.9231
2000-03-17,-4.2453
2000-03-20,0.0
2000-03-21,4.4335
2000-03-22,1.8868
2000-03-23,-0.2315
2000-03-24,-0.6961
2000-03-27,-3.271
2000-03-28,1.9324
2000-03-29,-0.237
2000-03-30,2.1378
2000-03-31,-1.3953
2000-04-03,5.4245
2000-04-04,0.6711
2000-04-05,-1.5556
2000-04-06,-2.0316
2000-04-07,-2.765
2000-04-10,3.3175
2000-04-11,-0.9174
2000-04-12,3.4722
2000-04-13,-4.698
2000-04-14,-7.5117
2000-04-17,1.5228000000000002
2000-04-18,1.75
2000-04-19,3.9312
2000-04-20,1.6548
2000-04-24,-0.6977
2000-04-25,2.3419
2000-04-26,-1.0343
2000-04-27,-3.0374
2000-04-28,-1.4458
2000-05-01,2.2005
2000-05-02,-1.9139
2000-05-03,-0.2439
2000-05-04,-3.1785
2000-05-05,-0.2525
2000-05-08,1.5190000000000001
2000-05-09,2.2444
2000-05-10,-0.4878
2000-05-11,1.9607999999999999
2000-05-12,1.9231
2000-05-15,-0.2358
2000-05-16,0.9456
2000-05-17,-0.9368
2000-05-18,1.4184
2000-05-19,-1.1655
