ticker,PPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.4706000000000001
2000-01-04,-1.8242
2000-01-05,1.6892
2000-01-06,1.3289
2000-01-07,2.2951
2000-01-10,1.6026
2000-01-11,-1.1041
2000-01-12,-0.4785
2000-01-13,-0.4808
2000-01-14,-1.2882
2000-01-18,0.4894
2000-01-19,0.487
2000-01-20,0.4847
2000-01-21,0.4823
2000-01-24,-1.12
2000-01-25,-0.1618
2000-01-26,0.1621
2000-01-27,-0.3236
2000-01-28,0.1623
2000-01-31,-0.4862
2000-02-01,-0.1629
2000-02-02,0.0
2000-02-03,-0.6525
2000-02-04,0.1642
2000-02-07,0.3279
2000-02-08,-0.1634
2000-02-09,1.4729999999999999
2000-02-10,-1.6129
2000-02-11,-0.3279
2000-02-14,-2.6316
2000-02-15,-1.3514
2000-02-16,2.3973
2000-02-17,0.3344
2000-02-18,0.5
2000-02-22,-0.3317
2000-02-23,-0.3328
2000-02-24,-0.3339
2000-02-25,-0.5025
2000-02-28,-0.6734
2000-02-29,1.8643999999999998
2000-03-01,-0.6656
2000-03-02,0.0
2000-03-03,-0.335
2000-03-06,0.0
2000-03-07,-0.5042
2000-03-08,-0.1689
2000-03-09,0.3384
2000-03-10,0.5059
2000-03-13,0.3356
2000-03-14,1.1706
2000-03-15,1.6529
2000-03-16,0.813
2000-03-17,0.3226
2000-03-20,0.3215
2000-03-21,-0.1603
2000-03-22,0.1605
2000-03-23,3.2051
2000-03-24,-1.087
2000-03-27,-0.471
2000-03-28,-0.1577
2000-03-29,1.2891
2000-03-30,0.0
2000-03-31,2.5437
2000-04-03,-0.9302
2000-04-04,0.1565
2000-04-05,1.25
2000-04-06,1.0802
2000-04-07,0.6107
2000-04-10,1.214
2000-04-11,0.5997
2000-04-12,-0.4471
2000-04-13,0.2994
2000-04-14,-1.9403000000000001
2000-04-17,-1.3699
2000-04-18,-0.1543
2000-04-19,0.4637
2000-04-20,1.3846
2000-04-24,0.9105
2000-04-25,0.4511
2000-04-26,0.2994
2000-04-27,0.2985
2000-04-28,0.0
2000-05-01,0.5952
2000-05-02,2.6627
2000-05-03,1.4409
2000-05-04,-0.142
2000-05-05,-0.2845
2000-05-08,-0.1427
2000-05-09,0.7143
2000-05-10,-1.1348
2000-05-11,0.7174
2000-05-12,0.9972
2000-05-15,0.0
2000-05-16,-0.5642
2000-05-17,0.1418
2000-05-18,1.2748
2000-05-19,0.1399
2000-05-22,-0.5587
2000-05-23,0.2809
2000-05-24,0.0
