ticker,AD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4211
2000-01-04,-3.2698
2000-01-05,0.2817
2000-01-06,-0.5618
2000-01-07,-0.2825
2000-01-10,2.8329
2000-01-11,-2.4793
2000-01-12,0.2825
2000-01-13,2.5352
2000-01-14,-1.9231
2000-01-18,-0.5602
2000-01-19,-1.4085
2000-01-20,2.5714
2000-01-21,5.571
2000-01-24,1.5831
2000-01-25,0.5195
2000-01-26,4.3928
2000-01-27,2.9703
2000-01-28,-0.9615
2000-01-31,0.9709
2000-02-01,0.9615
2000-02-02,0.7143
2000-02-03,4.2553
2000-02-04,0.4535
2000-02-07,-1.1287
2000-02-08,-0.4566
2000-02-09,-0.2294
2000-02-10,0.2299
2000-02-11,-1.3761
2000-02-14,2.7907
2000-02-15,-1.81
2000-02-16,0.6912
2000-02-17,1.373
2000-02-18,-2.9345
2000-02-22,0.4651
2000-02-23,0.463
2000-02-24,-0.9217
2000-02-25,-1.1628
2000-02-28,0.4706
2000-02-29,3.9813
2000-03-01,-1.3514
2000-03-02,-2.0548
2000-03-03,-0.2331
2000-03-06,1.8692
2000-03-07,-1.8349
2000-03-08,-0.2336
2000-03-09,-0.4684
2000-03-10,-4.0
2000-03-13,-2.9412000000000003
2000-03-14,0.0
2000-03-15,0.5051
2000-03-16,8.0402
2000-03-17,-1.3953
2000-03-20,0.7075
2000-03-21,-0.2342
2000-03-22,2.5822000000000003
2000-03-23,-1.1442
2000-03-24,1.1574
2000-03-27,-1.6018
2000-03-28,-3.2558
2000-03-29,1.4423
2000-03-30,-2.6066000000000003
2000-03-31,-2.6764
2000-04-03,4.0
2000-04-04,-0.9615
2000-04-05,3.3981
2000-04-06,2.5822000000000003
2000-04-07,-1.6018
2000-04-10,-0.9302
2000-04-11,1.4085
2000-04-12,-2.0833
2000-04-13,0.0
2000-04-14,-0.9456
2000-04-17,-2.864
2000-04-18,0.7371
2000-04-19,8.2927
2000-04-20,6.982
2000-04-24,-2.9474
2000-04-25,6.0738
2000-04-26,0.0
2000-04-27,-1.0225
2000-04-28,-0.8264
2000-05-01,2.7083
2000-05-02,-2.6369
2000-05-03,-0.2083
2000-05-04,0.2088
2000-05-05,0.0
2000-05-08,-1.0417
2000-05-09,-2.3158
2000-05-10,-1.0776
2000-05-11,0.0
2000-05-12,5.6645
2000-05-15,0.0
2000-05-16,2.8866
2000-05-17,0.8016
2000-05-18,-0.5964
2000-05-19,-1.0
2000-05-22,0.8081
2000-05-23,3.8076
