ticker,OV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0612
2000-01-04,-2.9474
2000-01-05,0.4338
2000-01-06,-0.081
2000-01-07,1.1618
2000-01-10,-3.6325
2000-01-11,-0.8869
2000-01-12,0.0
2000-01-13,2.9083
2000-01-14,0.6522
2000-01-18,0.216
2000-01-19,-1.2931
2000-01-20,0.0
2000-01-21,-0.655
2000-01-24,-5.0549
2000-01-25,0.463
2000-01-26,-0.6912
2000-01-27,2.3202
2000-01-28,-0.6803
2000-01-31,-7.7626
2000-02-01,0.495
2000-02-02,1.7241
2000-02-03,3.1477
2000-02-04,1.6432
2000-02-07,18.2448
2000-02-08,0.5859
2000-02-09,0.0
2000-02-10,-3.301
2000-02-11,1.4056
2000-02-14,-1.5842
2000-02-15,3.0181
2000-02-16,-2.9661999999999997
2000-02-17,-2.7803
2000-02-18,-2.6915
2000-02-22,0.6383
2000-02-23,-1.6913
2000-02-24,-3.6559
2000-02-25,1.3393
2000-02-28,3.5242
2000-02-29,1.9149
2000-03-01,-3.3403
2000-03-02,-0.432
2000-03-03,1.0846
2000-03-06,-3.0043
2000-03-07,-2.6549
2000-03-08,0.6818
2000-03-09,2.9345
2000-03-10,-1.7544
2000-03-13,1.5625
2000-03-14,-1.7582
2000-03-15,8.9485
2000-03-16,10.883
2000-03-17,-1.4815
2000-03-20,-2.6316
2000-03-21,5.9846
2000-03-22,-0.7286
2000-03-23,4.2202
2000-03-24,-0.5282
2000-03-27,-3.1858
2000-03-28,0.0
2000-03-29,3.5027
2000-03-30,-2.847
2000-03-31,1.4652
2000-04-03,6.1372
2000-04-04,0.5527
2000-04-05,-1.5645
2000-04-06,-2.2337
2000-04-07,-1.5817
2000-04-10,0.0
2000-04-11,0.3571
2000-04-12,1.6014
2000-04-13,-1.4011
2000-04-14,-6.5719
2000-04-17,1.5209000000000001
2000-04-18,1.4981
2000-04-19,-2.583
2000-04-20,2.4621
2000-04-24,0.7394
2000-04-25,4.0367
2000-04-26,-3.351
2000-04-27,-2.1898
2000-04-28,1.306
2000-05-01,0.3683
2000-05-02,-1.2844
2000-05-03,0.7435
2000-05-04,-2.214
2000-05-05,-0.7547
2000-05-08,0.9506
2000-05-09,0.9416
2000-05-10,-0.7463
2000-05-11,3.0075
2000-05-12,1.0949
2000-05-15,2.1661
2000-05-16,-1.9435
2000-05-17,-1.2612999999999999
2000-05-18,2.0188
2000-05-19,-3.5887000000000002
2000-05-22,2.7829
2000-05-23,2.1661
2000-05-24,3.3569
2000-05-25,-2.2222
2000-05-26,1.7483
2000-05-30,0.8591
2000-05-31,1.1925
2000-06-01,3.7037
2000-06-02,4.7078
2000-06-05,-3.5659
2000-06-06,-3.0547
2000-06-07,-0.1658
2000-06-08,-2.4917
2000-06-09,-1.3629
2000-06-12,0.8636
2000-06-13,-0.6849
2000-06-14,0.8621
2000-06-15,-6.4957
2000-06-16,-5.3016
2000-06-19,3.2819
2000-06-20,-0.9346
2000-06-21,-0.566
2000-06-22,0.1898
2000-06-23,-0.3788
2000-06-26,0.7605
2000-06-27,-0.1887
2000-06-28,0.5671
2000-06-29,-4.1353
2000-06-30,-1.9118
2000-07-03,3.3483
2000-07-05,2.1277
2000-07-06,-0.7576
