ticker,SIA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,13.3333
2000-01-05,-5.8824
2000-01-06,0.0
2000-01-07,6.25
2000-01-10,5.8824
2000-01-11,-5.5556
2000-01-12,0.0
2000-01-13,-5.8824
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,-6.25
2000-02-02,6.6667
2000-02-03,-6.25
2000-02-04,-6.6667
2000-02-07,7.1429
2000-02-08,6.6667
2000-02-09,-6.25
2000-02-10,0.0
2000-02-11,6.6667
2000-02-14,0.0
2000-02-15,-12.5
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,0.0
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,-7.1429
2000-02-29,7.6923
2000-03-01,0.0
2000-03-02,-7.1429
2000-03-03,7.6923
2000-03-06,-14.2857
2000-03-07,8.3333
2000-03-08,0.0
2000-03-09,-7.6923
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,0.0
2000-03-17,0.0
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,8.3333
2000-03-23,-7.6923
2000-03-24,0.0
2000-03-27,8.3333
2000-03-28,7.6923
2000-03-29,0.0
2000-03-30,-14.2857
2000-03-31,8.3333
2000-04-03,7.6923
2000-04-04,-14.2857
2000-04-05,-8.3333
2000-04-06,-9.0909
2000-04-07,10.0
2000-04-10,-9.0909
2000-04-11,0.0
2000-04-12,0.0
2000-04-13,0.0
2000-04-14,-10.0
2000-04-17,11.1111
2000-04-18,-20.0
2000-04-19,0.0
2000-04-20,12.5
2000-04-24,0.0
2000-04-25,-11.1111
2000-04-26,0.0
2000-04-27,-6.25
2000-04-28,-6.6667
2000-05-01,7.1429
2000-05-02,6.6667
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,0.0
2000-05-09,0.0
2000-05-10,0.0
2000-05-11,-6.25
2000-05-12,6.6667
2000-05-15,0.0
2000-05-16,0.0
2000-05-18,-6.25
2000-05-19,-13.3333
2000-05-23,-7.6923
2000-05-24,8.3333
2000-05-26,7.6923
2000-05-30,-60.7143
2000-05-31,9.0909
2000-06-01,0.0
2000-06-02,-16.6667
2000-06-05,0.0
2000-06-06,-20.0
2000-06-07,25.0
