ticker,OII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.6946
2000-01-04,0.0
2000-01-05,-1.3453
2000-01-06,6.8182
2000-01-07,8.9362
2000-01-10,-3.125
2000-01-11,2.4194
2000-01-12,-7.4803
2000-01-13,7.234
2000-01-14,3.5714
2000-01-18,9.9617
2000-01-19,-2.439
2000-01-20,-1.4285999999999999
2000-01-21,-1.4493
2000-01-24,-2.9412000000000003
2000-01-25,4.1667
2000-01-26,-3.2727
2000-01-27,-3.7594
2000-01-28,-0.7813
2000-01-31,4.7244
2000-02-01,1.8797000000000001
2000-02-02,2.952
2000-02-03,4.3011
2000-02-04,-4.4674
2000-02-07,-0.7194
2000-02-08,-3.9855
2000-02-09,-1.1320999999999999
2000-02-10,0.7634
2000-02-11,-0.3788
2000-02-14,1.9011
2000-02-15,6.7164
2000-02-16,0.6993
2000-02-17,0.0
2000-02-18,-0.6944
2000-02-22,1.049
2000-02-23,0.0
2000-02-24,1.3841
2000-02-25,-4.4369
2000-02-28,4.2857
2000-02-29,4.1096
2000-03-01,4.9342
2000-03-02,0.3135
2000-03-03,-6.875
2000-03-06,4.3624
2000-03-07,5.1447
2000-03-08,-7.0336
2000-03-09,-0.3289
2000-03-10,0.33
2000-03-13,0.0
2000-03-14,-0.6579
2000-03-15,0.6623
2000-03-16,0.9868
2000-03-17,-1.6287
2000-03-20,-2.3179
2000-03-21,0.339
2000-03-22,4.3919
2000-03-23,1.2945
2000-03-24,1.5974
2000-03-27,-0.3145
2000-03-28,-3.4699999999999998
2000-03-29,0.9804
2000-03-30,0.9709
2000-03-31,-3.8462
2000-04-03,1.3333
2000-04-04,-7.5658
2000-04-05,-1.7793999999999999
2000-04-06,-1.4493
2000-04-07,2.2059
2000-04-10,-2.8777
2000-04-11,-0.3704
2000-04-12,0.7435
2000-04-13,-3.321
2000-04-14,0.7634
2000-04-17,-6.8182
2000-04-18,2.439
2000-04-19,1.1905000000000001
2000-04-20,0.3922
2000-04-24,2.3438
2000-04-25,3.8167999999999997
2000-04-26,-0.3676
2000-04-27,2.214
2000-04-28,-0.361
2000-05-01,0.3623
2000-05-02,2.8881
2000-05-03,-2.1053
2000-05-04,2.1505
2000-05-05,1.0526
2000-05-08,1.3889
2000-05-09,1.0274
2000-05-10,-1.0169
2000-05-11,1.0274
2000-05-12,4.0678
2000-05-15,7.8176
2000-05-16,2.1148
2000-05-17,-2.3669000000000002
2000-05-18,-7.8788
2000-05-19,-0.3289
2000-05-22,-5.6106
