ticker,KEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.9202
2000-01-04,-5.1672
2000-01-05,-1.9231
2000-01-06,2.2876
2000-01-07,0.0
2000-01-10,2.8754
2000-01-11,6.5217
2000-01-12,11.0787
2000-01-13,11.0236
2000-01-14,12.0567
2000-01-18,-7.8059
2000-01-19,13.9588
2000-01-20,6.0241
2000-01-21,-0.1894
2000-01-24,4.3643
2000-01-25,-1.0909
2000-01-26,0.0
2000-01-27,-7.7206
2000-01-28,-5.9761
2000-01-31,-2.1186
2000-02-01,2.8139
2000-02-02,4.4211
2000-02-03,0.2016
2000-02-04,0.4024
2000-02-07,9.018
2000-02-08,3.4926
2000-02-09,-3.0195
2000-02-10,3.1136
2000-02-11,0.5329
2000-02-14,-1.0601
2000-02-15,17.1429
2000-02-16,-2.439
2000-02-17,25.9375
2000-02-18,-10.67
2000-02-22,6.1111
2000-02-23,-0.5236
2000-02-24,-0.7895
2000-02-25,5.9681999999999995
2000-02-28,14.0175
2000-02-29,2.6345
2000-03-01,-3.7433
2000-03-02,-1.5556
2000-03-03,4.6274999999999995
2000-03-06,-5.6095
2000-03-07,-8.1143
2000-03-08,0.3731
2000-03-09,14.746
2000-03-10,4.9676
2000-03-13,12.963
2000-03-14,-6.0109
2000-03-15,2.4109
2000-03-16,-7.7652
2000-03-17,0.4107
2000-03-20,-1.8405
2000-03-21,-12.6042
2000-03-22,4.7676
2000-03-23,2.3891
2000-03-24,-3.2222
2000-03-27,-3.0999
2000-03-28,-4.0284
2000-03-29,-7.1605
2000-03-30,-4.1223
2000-03-31,5.6865
2000-04-03,-1.1811
2000-04-04,-10.8898
2000-04-05,-4.769
2000-04-06,5.0078
2000-04-07,4.918
2000-04-10,-4.4033999999999995
2000-04-11,1.3373
2000-04-12,-10.8504
2000-04-13,-1.4803
2000-04-14,-6.01
2000-04-17,-12.611
2000-04-18,17.2764
2000-04-19,33.1023
2000-04-20,4.5573
2000-04-24,-0.9963
2000-04-25,3.8994
2000-04-26,6.0533
2000-04-27,4.1096
2000-04-28,-2.193
2000-05-01,-5.157
2000-05-02,-3.5461
2000-05-03,-0.8578
2000-05-04,4.6972000000000005
2000-05-05,8.6187
2000-05-08,11.3043
2000-05-09,-2.1484
2000-05-10,-13.7725
2000-05-11,9.9537
2000-05-12,1.6842000000000001
2000-05-15,6.9358
2000-05-16,4.0658
2000-05-17,-5.0233
2000-05-18,-1.763
2000-05-19,-6.68
2000-05-22,2.2436
2000-05-23,-5.9561
