ticker,HD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.1818
2000-01-04,-5.2733
2000-01-05,2.0243
2000-01-06,-4.7619
2000-01-07,5.8333
2000-01-10,-0.4921
2000-01-11,-2.5717
2000-01-12,-0.8122
2000-01-13,1.74
2000-01-14,-0.3018
2000-01-18,-2.3209
2000-01-19,2.2727
2000-01-20,-1.9506999999999999
2000-01-21,-1.1011
2000-01-24,-3.3333
2000-01-25,-3.2328
2000-01-26,2.2272
2000-01-27,1.5251000000000001
2000-01-28,-4.5064
2000-01-31,1.7978
2000-02-01,9.4923
2000-02-02,-2.0161
2000-02-03,-0.4115
2000-02-04,1.0331
2000-02-07,-3.4765
2000-02-08,3.3898
2000-02-09,-3.6885
2000-02-10,1.383
2000-02-11,0.8395
2000-02-14,0.4162
2000-02-15,-0.9326
2000-02-16,-4.1841
2000-02-17,-4.8035
2000-02-18,-1.3761
2000-02-22,-0.2326
2000-02-23,2.2145
2000-02-24,-3.1927
2000-02-25,-0.1178
2000-02-28,7.1934
2000-02-29,1.2101
2000-03-01,-3.2609
2000-03-02,-0.8989
2000-03-03,-1.1338
2000-03-06,-1.1468
2000-03-07,-2.71
2000-03-08,0.2387
2000-03-09,5.3571
2000-03-10,-3.2768
2000-03-13,-0.9346
2000-03-14,-1.2972000000000001
2000-03-15,8.9606
2000-03-16,7.8947
2000-03-17,2.7439
2000-03-20,0.6924
2000-03-21,-0.1965
2000-03-22,-0.689
2000-03-23,1.6848
2000-03-24,0.3899
2000-03-27,0.0
2000-03-28,-0.5825
2000-03-29,7.0312
2000-03-30,-2.1898
2000-03-31,-3.7313
2000-04-03,5.4264
2000-04-04,-4.9632
2000-04-05,-0.9671
2000-04-06,3.0273
2000-04-07,-2.7488
2000-04-10,3.9961
2000-04-11,1.0309
2000-04-12,-2.0408
2000-04-13,-5.303
2000-04-14,-3.6
2000-04-17,-4.9793
2000-04-18,2.6201
2000-04-19,0.0
2000-04-20,-0.2128
2000-04-24,1.5991
2000-04-25,-0.9444
2000-04-26,2.5423999999999998
2000-04-27,-2.7893
2000-04-28,-3.932
2000-05-01,-0.6637
2000-05-02,1.2248999999999999
2000-05-03,-4.9505
2000-05-04,-2.7778
2000-05-05,1.5476
2000-05-08,0.4689
2000-05-09,-1.9837
2000-05-10,2.8571
2000-05-11,-0.2315
2000-05-12,0.232
2000-05-15,4.6296
2000-05-16,-5.4204
2000-05-17,-2.2222
2000-05-18,-1.4354
2000-05-19,0.1214
