ticker,SPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.3529
2000-01-04,-2.2989
2000-01-05,-3.5294
2000-01-06,-1.2195
2000-01-07,-1.2346
2000-01-10,-1.25
2000-01-11,-1.2658
2000-01-12,0.0
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,2.5641
2000-01-20,1.25
2000-01-21,0.0
2000-01-24,13.5802
2000-01-25,7.6087
2000-01-26,0.0
2000-01-27,1.0101
2000-01-28,-2.0
2000-01-31,-2.0408
2000-02-01,-1.0417
2000-02-02,-1.0526
2000-02-03,0.0
2000-02-04,-2.1277
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,-1.087
2000-02-11,3.2967
2000-02-14,-3.1915
2000-02-15,-1.0989
2000-02-16,-13.3333
2000-02-17,2.5641
2000-02-18,2.5
2000-02-22,1.2195
2000-02-23,0.0
2000-02-24,-1.2048
2000-02-25,1.2195
2000-02-28,-6.0241
2000-02-29,1.2821
2000-03-01,2.5316
2000-03-02,-2.4691
2000-03-03,2.5316
2000-03-06,-2.4691
2000-03-08,-1.2658
2000-03-09,0.0
2000-03-10,-2.5641
2000-03-13,-1.3158
2000-03-14,-1.3333
2000-03-15,5.4054
2000-03-16,2.5641
2000-03-17,-1.25
2000-03-20,-1.2658
2000-03-21,1.2821
2000-03-22,-1.2658
2000-03-23,1.2821
2000-03-24,-8.8608
2000-03-27,2.7778
2000-03-28,-2.7027
2000-03-29,0.0
2000-03-30,2.7778
2000-03-31,5.4054
2000-04-03,0.0
2000-04-04,0.0
2000-04-05,-3.8462
2000-04-06,-1.3333
2000-04-07,2.7027
2000-04-11,-1.3158
2000-04-12,-2.6667
2000-04-13,0.0
2000-04-14,-1.3699
2000-04-17,-4.1667
2000-04-18,-4.3478
2000-04-19,-1.5152
2000-04-20,0.0
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,1.5385
2000-04-27,-3.0303
2000-04-28,6.25
2000-05-01,0.0
2000-05-02,-5.8824
2000-05-03,3.125
2000-05-04,-1.5152
2000-05-05,3.0769
2000-05-08,0.0
2000-05-09,-4.4776
2000-05-10,3.125
2000-05-11,0.0
2000-05-12,0.0
2000-05-15,-3.0303
2000-05-22,-3.125
2000-05-25,3.2258
2000-05-26,-6.25
2000-05-30,6.6667
2000-05-31,3.125
2000-06-01,0.0
2000-06-02,-3.0303
2000-06-05,0.0
2000-06-06,3.125
2000-06-07,1.5152
2000-06-08,-1.4925
2000-06-09,0.0
2000-06-12,3.0303
