ticker,MFW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.7037
2000-01-04,-2.3810000000000002
2000-01-05,4.878
2000-01-06,-3.4884
2000-01-07,3.6145
2000-01-10,0.0
2000-01-11,-1.1628
2000-01-12,3.5294
2000-01-13,0.0
2000-01-14,-2.2727
2000-01-18,3.4884
2000-01-19,-1.1236
2000-01-20,-1.1364
2000-01-21,-1.1494
2000-01-24,0.0
2000-01-25,-1.1628
2000-01-26,-1.1764999999999999
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,3.5714
2000-02-02,-2.2989
2000-02-03,1.1764999999999999
2000-02-04,-2.3256
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,-1.1905000000000001
2000-02-10,-2.4096
2000-02-11,1.2346
2000-02-14,1.2195
2000-02-15,-1.2048
2000-02-16,3.6585
2000-02-17,-4.7059
2000-02-18,-3.7037
2000-02-22,2.5641
2000-02-23,2.5
2000-02-24,-2.439
2000-02-25,0.0
2000-02-28,-2.5
2000-02-29,0.0
2000-03-01,3.8462
2000-03-02,-3.7037
2000-03-03,6.4103
2000-03-06,-1.2048
2000-03-07,-2.439
2000-03-08,1.25
2000-03-09,-1.2346
2000-03-10,-2.5
2000-03-13,-6.4103
2000-03-14,-6.8493
2000-03-15,-1.4706000000000001
2000-03-16,2.9851
2000-03-17,8.6957
2000-03-20,-4.0
2000-03-21,-1.3889
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,4.2254
2000-03-27,-2.7027
2000-03-28,-2.7778
2000-03-29,1.4285999999999999
2000-03-30,-1.4085
2000-03-31,0.0
2000-04-03,2.8571
2000-04-04,0.0
2000-04-05,2.7778
2000-04-06,-1.3514
2000-04-07,4.1096
2000-04-10,-1.3158
2000-04-11,0.0
2000-04-12,-2.6667
2000-04-13,-1.3699
2000-04-14,-6.9444
2000-04-17,4.4776
2000-04-18,0.0
2000-04-19,-1.4285999999999999
2000-04-20,1.4493
2000-04-24,0.0
2000-04-25,2.8571
2000-04-26,-1.3889
2000-04-27,0.0
2000-04-28,5.6338
2000-05-01,1.3333
2000-05-02,2.6316
2000-05-03,2.5641
2000-05-04,0.0
2000-05-05,0.0
2000-05-08,5.0
2000-05-09,2.3810000000000002
2000-05-10,2.3256
2000-05-11,0.0
2000-05-12,4.5455
2000-05-15,-2.1739
2000-05-16,0.0
2000-05-17,-1.1111
2000-05-18,0.0
2000-05-19,2.2472
2000-05-22,-3.2967
2000-05-24,0.0
