ticker,WDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.8671
2000-01-04,0.2915
2000-01-05,0.2907
2000-01-06,0.8696
2000-01-07,2.5862
2000-01-10,-0.8403
2000-01-11,0.0
2000-01-12,-0.2825
2000-01-13,0.2833
2000-01-14,0.0
2000-01-18,-0.565
2000-01-19,0.5682
2000-01-20,0.8475
2000-01-21,0.2801
2000-01-24,0.0
2000-01-25,-0.838
2000-01-26,0.0
2000-01-27,-0.2817
2000-01-28,-0.2825
2000-01-31,1.983
2000-02-01,0.2778
2000-02-02,-0.277
2000-02-03,0.2778
2000-02-04,-0.554
2000-02-07,0.5571
2000-02-08,0.831
2000-02-09,0.0
2000-02-10,-0.5495
2000-02-11,0.5525
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,0.2747
2000-02-17,0.0
2000-02-18,-0.274
2000-02-22,0.5495
2000-02-23,0.0
2000-02-24,-0.2732
2000-02-25,0.274
2000-02-28,0.5464
2000-02-29,0.2717
