ticker,JEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.5806
2000-01-04,-1.8868
2000-01-05,0.641
2000-01-06,-1.2739
2000-01-07,0.6452
2000-01-10,0.0
2000-01-11,-3.8462
2000-01-12,-0.6667
2000-01-13,0.6711
2000-01-14,0.0
2000-01-18,0.6667
2000-01-19,-3.3113
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,-1.3699
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,2.7778
2000-01-28,-2.027
2000-01-31,0.6897
2000-02-01,0.6849
2000-02-02,1.3605
2000-02-03,2.0134
2000-02-04,0.0
2000-02-07,-1.3158
2000-02-08,-3.3333
2000-02-09,0.6897
2000-02-10,-0.6849
2000-02-11,-0.6897
2000-02-14,-2.0833
2000-02-15,-1.4184
2000-02-16,0.7194
2000-02-17,-2.1429
2000-02-18,-0.7299
2000-02-22,-3.6765
2000-02-23,1.5267
2000-02-24,-1.5038
2000-02-25,3.0534
2000-02-28,-0.7407
2000-02-29,0.0
2000-03-01,-0.7463
2000-03-02,1.5038
2000-03-03,-3.7037
2000-03-06,-1.5385
2000-03-07,0.0
2000-03-08,1.5625
2000-03-09,-0.7692
2000-03-10,0.7752
2000-03-13,-3.8462
2000-03-14,-0.8
2000-03-15,0.8065
2000-03-16,3.2
2000-03-17,0.0
2000-03-20,0.7752
2000-03-21,-1.5385
2000-03-22,0.0
2000-03-23,-1.5625
2000-03-24,0.0
2000-03-27,2.3810000000000002
2000-03-28,0.0
2000-03-29,3.1008
2000-03-30,-3.0075
2000-03-31,3.1008
2000-04-03,1.5038
2000-04-04,-5.1852
2000-04-05,3.125
2000-04-06,-1.5152
2000-04-07,0.7692
2000-04-10,0.0
2000-04-11,-1.5267
2000-04-12,0.7752
2000-04-13,-1.5385
2000-04-14,-3.125
2000-04-17,0.0
2000-04-18,2.4194
2000-04-19,-0.7874
2000-04-20,-1.5873
2000-04-24,-1.6129
2000-04-25,4.918
2000-04-26,-3.125
2000-04-27,0.8065
2000-04-28,0.0
2000-05-01,1.6
2000-05-02,0.0
2000-05-03,-1.5748
2000-05-04,0.0
2000-05-05,0.0
2000-05-08,0.8
2000-05-09,-3.9683
2000-05-10,0.0
2000-05-11,0.0
2000-05-12,1.6529
2000-05-15,-0.813
2000-05-16,0.8197
2000-05-17,-1.626
2000-05-18,-0.8264
2000-05-19,-0.8333
2000-05-22,-2.521
2000-05-23,-0.8621
2000-05-24,0.0
2000-05-25,0.8696
2000-05-26,-1.7241
