ticker,TMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9851
2000-01-04,-1.4423
2000-01-05,-0.1951
2000-01-06,-0.4888
2000-01-07,0.2947
2000-01-10,4.5054
2000-01-11,-2.0619
2000-01-12,1.1482999999999999
2000-01-13,0.8515
2000-01-14,-2.5328
2000-01-18,-0.9625
2000-01-19,-0.9718
2000-01-20,-0.1963
2000-01-21,1.5733000000000001
2000-01-24,-4.9371
2000-01-25,1.0183
2000-01-26,-1.2097
2000-01-27,-0.6122
2000-01-28,-3.2854
2000-01-31,0.5308
2000-02-01,1.2671999999999999
2000-02-02,-1.877
2000-02-03,1.169
2000-02-04,-1.2605
2000-02-07,-3.0851
2000-02-08,1.6465
2000-02-09,-0.216
2000-02-10,-1.7316
2000-02-11,-0.3304
2000-02-14,-0.5525
2000-02-15,-1.3333
2000-02-16,-0.7297
2000-02-17,-0.1139
2000-02-18,-2.5086
2000-02-22,0.9357
2000-02-23,-0.8111
2000-02-24,-6.5421
2000-02-25,0.75
2000-02-28,2.9777
2000-02-29,-1.6867
2000-03-01,-0.1225
2000-03-02,0.7362
2000-03-03,1.3397999999999999
2000-03-06,-0.8413
2000-03-07,-2.4242
2000-03-08,-3.7267
2000-03-09,1.5484
2000-03-10,-2.5413
2000-03-13,78.618
2000-03-14,3.0657
2000-03-15,1.0623
2000-03-16,4.3448
2000-03-17,0.4701
2000-03-20,0.1337
2000-03-21,0.6676
2000-03-22,-0.5305
2000-03-23,0.5333
2000-03-24,-1.1273
2000-03-27,0.0
2000-03-28,0.3353
2000-03-29,-0.6684
2000-03-30,0.0
2000-03-31,0.0673
2000-04-03,1.345
2000-04-04,-0.1991
2000-04-05,-0.6649
2000-04-06,0.2008
2000-04-07,0.7348
2000-04-10,0.3316
2000-04-11,-0.3305
2000-04-12,0.1989
2000-04-13,-0.2647
2000-04-14,-0.1991
2000-04-17,0.9973
2000-04-18,1.7774999999999999
2000-04-19,3.0401
2000-04-20,-0.6277
2000-04-24,-1.1371
2000-04-25,1.853
2000-04-26,-0.6901
2000-04-27,-1.8951
2000-04-28,-0.1288
2000-05-01,-1.6763
2000-05-02,1.5082
2000-05-03,-0.323
2000-05-04,-1.4906
2000-05-05,-0.1316
2000-05-08,1.3834
2000-05-09,-1.0396
2000-05-10,1.3132
2000-05-11,0.1296
2000-05-12,0.712
2000-05-15,0.7069
2000-05-16,-0.6382
2000-05-17,-1.0236
2000-05-18,-0.1339
2000-05-19,-2.989
2000-05-22,0.7368
2000-05-23,0.9973
2000-05-24,2.3384
2000-05-25,-0.3868
2000-05-26,-1.9417
2000-05-30,3.4983
2000-05-31,-1.5306
2000-06-01,-0.7772
2000-06-02,0.0653
2000-06-05,0.5871
2000-06-06,-1.8807
2000-06-07,-1.0575
2000-06-08,1.1356
2000-06-09,-1.255
2000-06-12,-2.9933
