ticker,MCOAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.1785
2000-01-04,-4.798
2000-01-05,0.2653
2000-01-06,-0.7937
2000-01-07,0.0
2000-01-10,-1.3333
2000-01-11,-5.1350999999999996
2000-01-12,0.2849
2000-01-13,0.0
2000-01-14,7.3864
2000-01-18,-1.5873
2000-01-19,4.5699
2000-01-20,2.8278
2000-01-21,-2.0
2000-01-24,-10.2041
2000-01-25,2.8409
2000-01-26,0.2762
2000-01-27,-0.8264
2000-01-28,-0.8333
2000-01-31,-2.521
2000-02-01,-5.1724
2000-02-02,-9.697
2000-02-03,-3.0201
2000-02-04,-3.8062
2000-02-07,6.4748
2000-02-08,6.7568
2000-02-09,-2.8481
2000-02-10,-0.9772
2000-02-11,2.6316
2000-02-14,-2.5641
2000-02-15,-5.2632
2000-02-16,-2.0833
2000-02-17,2.8369
2000-02-18,-1.7241
2000-02-22,0.3509
2000-02-23,-5.5944
2000-02-24,-1.4815
2000-02-25,-0.7519
2000-02-28,3.4091
2000-02-29,5.4945
2000-03-01,-0.3472
2000-03-02,-2.0906
2000-03-03,-3.2028
2000-03-06,1.8382
2000-03-07,-2.5271
2000-03-08,-6.6667
2000-03-09,-0.3968
2000-03-10,2.3904
2000-03-13,-0.7782
2000-03-14,-0.7843
2000-03-15,1.9763
2000-03-16,13.5659
2000-03-17,-0.3413
2000-03-20,4.1096
2000-03-21,-0.9868
2000-03-22,0.0
2000-03-23,1.6611
2000-03-24,0.0
2000-03-27,0.6536
2000-03-28,-3.2468
2000-03-29,-1.6779
2000-03-30,4.4369
2000-03-31,-0.6536
2000-04-03,1.9737
2000-04-04,-8.0645
2000-04-05,1.7544
2000-04-06,1.0345
2000-04-07,-0.6826
2000-04-10,-2.0619
2000-04-11,-2.807
2000-04-12,-1.083
2000-04-13,-0.7299
2000-04-14,-7.3529
2000-04-17,3.1746
2000-04-18,1.5385
2000-04-19,3.0303
2000-04-20,-0.3676
2000-04-24,0.369
2000-04-25,-1.1029
2000-04-26,-1.487
2000-04-27,-1.5093999999999999
2000-04-28,0.3831
2000-05-01,-0.3817
2000-05-02,-1.5326
2000-05-03,-0.7782
2000-05-04,0.3922
2000-05-05,0.0
2000-05-08,-0.3906
2000-05-09,-0.3922
2000-05-10,-3.1496
2000-05-11,2.439
2000-05-12,0.0
2000-05-15,1.5873
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,0.0
2000-05-19,-0.3906
2000-05-22,-6.6667
2000-05-23,1.2605
