ticker,IDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5641
2000-01-04,-0.4785
2000-01-05,3.6058
2000-01-06,0.6961
2000-01-07,1.6129
2000-01-10,-0.2268
2000-01-11,-1.3636
2000-01-12,2.0737
2000-01-13,2.7088
2000-01-14,2.1978
2000-01-18,-0.4301
2000-01-19,3.2397
2000-01-20,15.4812
2000-01-21,10.8696
2000-01-24,0.5621
2000-01-25,-9.375
2000-01-26,-2.1779
2000-01-27,-2.4119
2000-01-28,-3.4221
2000-01-31,5.7087
2000-02-01,2.0484
2000-02-02,-5.1095
2000-02-03,3.8462
2000-02-04,-2.2222
2000-02-07,-0.947
2000-02-08,-2.1033
2000-02-09,0.7813
2000-02-10,-0.7752
2000-02-11,-1.1719
2000-02-14,-0.7905
2000-02-15,-0.5976
2000-02-16,0.2004
2000-02-17,2.4
2000-02-18,-1.3672
2000-02-22,-1.3860999999999999
2000-02-23,-0.2008
2000-02-24,-2.6157
2000-02-25,0.0
2000-02-28,1.0331
2000-02-29,4.2945
2000-03-01,-2.9412000000000003
2000-03-02,1.2121
2000-03-03,1.5968
2000-03-06,0.9823
2000-03-07,-2.3346
2000-03-08,2.7888
2000-03-09,0.0
2000-03-10,0.1938
2000-03-13,-1.1605
2000-03-14,-0.9785
2000-03-15,3.9526
2000-03-16,4.943
2000-03-17,-3.442
2000-03-20,1.6886
2000-03-21,-2.3985
2000-03-22,-1.3233
2000-03-23,1.341
2000-03-24,0.5671
2000-03-27,-0.3759
2000-03-28,-3.0189
2000-03-29,0.3891
2000-03-30,1.7442
2000-03-31,5.9048
2000-04-03,-2.8777
2000-04-04,-0.5556
2000-04-05,2.4209
2000-04-06,-2.0
2000-04-07,0.3711
2000-04-10,-1.6636
2000-04-11,0.0
2000-04-12,-1.5038
2000-04-13,0.3817
2000-04-14,-2.0913
2000-04-17,0.9709
2000-04-18,0.9615
2000-04-19,-0.1905
2000-04-20,2.2901
2000-04-24,1.4925
2000-04-25,2.7574
2000-04-26,3.5778
2000-04-27,-0.8636
2000-04-28,2.7875
2000-05-01,-0.8475
2000-05-02,-2.3932
2000-05-03,-2.725
2000-05-04,2.1898
2000-05-05,-1.4285999999999999
2000-05-08,2.1739
2000-05-09,-0.8865
2000-05-10,-0.5367
2000-05-11,2.1583
2000-05-12,0.1761
2000-05-15,0.5272
2000-05-16,0.3497
2000-05-17,-4.3554
2000-05-18,-0.1821
2000-05-19,-0.1825
2000-05-22,0.7313
2000-05-23,-0.9074
