ticker,OLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.5525
2000-01-05,-1.0989
2000-01-06,-1.6667
2000-01-07,1.6949
2000-01-10,1.6667
2000-01-11,-0.5464
2000-01-12,-2.7473
2000-01-13,0.0
2000-01-14,-3.3898
2000-01-18,-1.7544
2000-01-19,2.9762
2000-01-20,-6.3584
2000-01-21,-1.2346
2000-01-24,-8.125
2000-01-25,-3.4013999999999998
2000-01-26,1.4085
2000-01-27,11.8056
2000-01-28,0.6211
2000-01-31,1.2346
2000-02-01,2.439
2000-02-02,0.5952
2000-02-03,-1.1834
2000-02-04,-0.5988
2000-02-07,1.2048
2000-02-08,3.5714
2000-02-09,-0.5747
2000-02-10,2.3121
2000-02-11,0.565
2000-02-14,-1.6854
2000-02-15,-0.5714
2000-02-16,2.2989
2000-02-17,5.0562
2000-02-18,0.5348
2000-02-22,1.5957
2000-02-23,0.0
2000-02-24,-1.5707
2000-02-25,1.0638
2000-02-28,-3.6842
2000-02-29,4.3716
2000-03-01,-2.6178
2000-03-02,0.0
2000-03-03,0.5376
2000-03-06,1.6042999999999998
2000-03-07,-2.1053
2000-03-08,-3.7634
2000-03-09,2.7933
2000-03-10,2.7174
2000-03-13,-13.7566
2000-03-14,1.8405
2000-03-15,-3.6145
