ticker,BLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2787
2000-01-04,-3.3898
2000-01-05,0.0
2000-01-06,-1.7544
2000-01-07,-1.0714
2000-01-10,4.3321
2000-01-11,-3.8062
2000-01-12,0.0
2000-01-13,3.2374
2000-01-14,-0.6969
2000-01-18,-2.1053
2000-01-19,-1.4337
2000-01-20,-1.8182
2000-01-21,1.4815
2000-01-24,-4.3796
2000-01-25,-2.2901
2000-01-26,-0.7813
2000-01-27,0.3937
2000-01-28,-0.3922
2000-01-31,0.0
2000-02-01,0.3937
2000-02-02,0.0
2000-02-03,0.3922
2000-02-04,-2.3438
2000-02-07,2.0
2000-02-08,1.5686
2000-02-09,-3.4286
2000-02-10,-2.008
2000-02-11,2.0492
2000-02-14,-2.4096
2000-02-15,-3.7037
2000-02-16,-1.2821
2000-02-17,-3.8961
2000-02-18,-2.7027
2000-02-22,0.0
2000-02-23,0.463
2000-02-24,-2.3041
2000-02-25,-7.0755
2000-02-28,3.5533
2000-02-29,0.9804
2000-03-01,2.4272
2000-03-02,-0.4739
2000-03-03,1.4285999999999999
2000-03-06,0.0
2000-03-07,-0.939
2000-03-08,-2.8436
2000-03-09,3.4146
2000-03-10,-2.3585
2000-03-13,5.7971
2000-03-14,0.9132
2000-03-15,1.3575
2000-03-16,6.25
2000-03-17,-0.4202
2000-03-20,0.8439
2000-03-21,-2.5105
2000-03-22,2.1459
2000-03-23,2.521
2000-03-24,-2.0492
2000-03-27,1.6736
2000-03-28,3.7037
2000-03-29,-4.3651
2000-03-30,2.9046
2000-03-31,15.3226
2000-04-03,-6.993
2000-04-04,1.8797000000000001
2000-04-05,-0.369
2000-04-06,-2.963
2000-04-07,-0.7634
2000-04-10,-1.1538
2000-04-11,1.1673
2000-04-12,0.7692
2000-04-13,-1.145
2000-04-14,-3.4749
2000-04-17,0.4
2000-04-18,1.1952
2000-04-19,3.5433
2000-04-20,-0.3802
2000-04-24,0.7634
2000-04-25,-1.1364
2000-04-26,0.0
2000-04-27,-0.3831
2000-04-28,2.6923
2000-05-01,-3.7453
2000-05-02,-1.1673
2000-05-03,1.9685000000000001
2000-05-04,5.0193
2000-05-05,-1.8382
2000-05-08,-2.2472
2000-05-09,3.0651
2000-05-10,-1.4424000000000001
2000-05-11,2.6515
2000-05-12,-1.107
2000-05-15,5.5969999999999995
2000-05-16,0.7067
2000-05-17,-3.8596
2000-05-18,0.0
2000-05-19,-3.2847
2000-05-22,-1.8868
2000-05-23,-1.1538
