ticker,MVL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,13.6364
2000-01-04,0.0
2000-01-05,-3.0
2000-01-06,-5.1546
2000-01-07,-4.3478
2000-01-10,6.8182
2000-01-11,-3.1915
2000-01-12,5.4945
2000-01-13,1.0417
2000-01-14,6.1856
2000-01-18,0.9709
2000-01-19,-0.9615
2000-01-20,0.0
2000-01-21,-0.9709
2000-01-24,-3.9215999999999998
2000-01-25,1.0204
2000-01-26,-3.0303
2000-01-27,-1.0417
2000-01-28,1.0526
2000-01-31,2.0833
2000-02-01,-4.0816
2000-02-02,-3.1915
2000-02-03,0.0
2000-02-04,3.2967
2000-02-07,6.383
2000-02-08,-4.0
2000-02-09,4.1667
2000-02-10,-2.0
2000-02-11,-4.0816
2000-02-14,-3.1915
2000-02-15,1.0989
2000-02-16,8.6957
2000-02-17,-2.0
2000-02-18,-2.0408
2000-02-22,0.0
2000-02-23,4.1667
2000-02-24,-1.0
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,-2.0202
2000-03-02,1.0309
2000-03-03,-2.0408
2000-03-06,-4.1667
2000-03-07,-2.1739
2000-03-08,2.2222
2000-03-09,-1.087
2000-03-10,-1.0989
2000-03-13,-4.4444
2000-03-14,4.6512
2000-03-15,-4.4444
2000-03-16,11.6279
2000-03-17,-6.25
2000-03-20,3.3333
2000-03-21,-2.1505
2000-03-22,0.0
2000-03-23,1.0989
2000-03-24,-2.1739
2000-03-27,-2.2222
2000-03-28,-3.4091
2000-03-29,0.0
2000-03-30,3.5294
2000-03-31,7.9545
2000-04-03,-4.2105
2000-04-04,-2.1978
2000-04-05,-3.3708
2000-04-06,9.3023
2000-04-07,18.0851
2000-04-10,-6.3063
2000-04-11,-0.9615
2000-04-12,-4.8544
2000-04-13,-4.0816
2000-04-14,-12.766
2000-04-17,-2.439
2000-04-18,13.75
2000-04-19,-7.6923
2000-04-20,2.3810000000000002
2000-04-24,1.1628
2000-04-25,-2.2989
2000-04-26,-3.5294
2000-04-27,-3.6585
2000-04-28,0.0
2000-05-01,8.8608
2000-05-02,-1.1628
2000-05-03,-5.8824
2000-05-04,0.0
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-5.0
2000-05-11,-3.9474
2000-05-12,-2.7397
2000-05-15,0.0
2000-05-16,-1.4085
2000-05-17,0.0
2000-05-18,-1.4285999999999999
2000-05-19,0.0
2000-05-22,-2.8986
2000-05-23,1.4925
2000-05-24,-1.4706000000000001
