ticker,BGC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.1322
2000-01-04,-3.4483
2000-01-05,0.0
2000-01-06,0.8929
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,-0.885
2000-01-12,-2.6786
2000-01-13,-0.9174
2000-01-14,3.7037
2000-01-18,4.4643
2000-01-19,8.547
2000-01-20,-3.9370000000000003
2000-01-21,4.0984
2000-01-24,19.685
2000-01-25,-5.2632
2000-01-26,-2.0833
2000-01-27,-1.4184
2000-01-28,-2.8777
2000-01-31,-8.1481
2000-02-01,0.0
2000-02-02,5.6452
2000-02-03,4.5802
2000-02-04,0.0
2000-02-07,5.1095
2000-02-08,2.7778
2000-02-09,6.7568
2000-02-10,-17.0886
2000-02-11,-6.1068999999999996
2000-02-14,0.0
2000-02-15,-0.813
2000-02-16,1.4754
2000-02-17,12.1951
2000-02-18,4.3478
2000-02-22,-2.0833
2000-02-23,-0.7092
2000-02-24,-5.7143
2000-02-25,-0.7576
2000-02-28,57.2519
2000-02-29,-14.5631
2000-03-01,-12.5
2000-03-02,3.2468
2000-03-03,1.8868
2000-03-06,-3.0864
2000-03-07,-5.7325
2000-03-08,-4.0541
2000-03-09,7.0423
2000-03-10,-2.6316
2000-03-13,-4.0541
2000-03-14,-8.4507
2000-03-15,7.6923
2000-03-16,0.7143
2000-03-17,2.1277
2000-03-20,-2.0833
2000-03-21,-2.1277
2000-03-22,2.8986
2000-03-23,0.7042
2000-03-24,-1.3986
2000-03-27,-2.1277
2000-03-28,-2.1739
2000-03-29,-1.4815
2000-03-30,-0.7519
2000-03-31,-5.303
2000-04-03,0.8
2000-04-04,-3.1746
2000-04-05,-0.8197
2000-04-06,2.4793
2000-04-07,-3.2258
2000-04-10,-3.3333
2000-04-11,-4.3103
2000-04-12,1.8018
2000-04-13,-2.6549
2000-04-14,-2.7273
2000-04-17,-5.6075
2000-04-18,3.9604
2000-04-19,9.5238
2000-04-20,0.0
2000-04-24,-3.4783
2000-04-25,6.3063
2000-04-26,2.3729
2000-04-27,0.0
2000-04-28,2.5
2000-05-01,2.439
2000-05-02,6.3492
2000-05-03,5.2239
2000-05-04,1.4184
2000-05-05,-3.4965
2000-05-08,-3.6231999999999998
2000-05-09,4.5113
2000-05-10,-3.5971
2000-05-11,0.7463
2000-05-12,-5.9259
2000-05-15,0.7874
2000-05-16,0.0
2000-05-17,1.5625
2000-05-18,-1.5385
2000-05-19,-3.9063
2000-05-22,-2.439
2000-05-23,-1.6667
