ticker,GCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9231
2000-01-04,-3.4314
2000-01-05,-0.5076
2000-01-06,-1.5306
2000-01-07,-2.5907
2000-01-10,-4.2553
2000-01-11,0.5556
2000-01-12,-1.105
2000-01-13,-1.6760000000000002
2000-01-14,-3.4091
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,3.5294
2000-01-21,-1.1364
2000-01-24,-4.5977
2000-01-25,-9.6386
2000-01-26,3.3333
2000-01-27,-1.9355
2000-01-28,-1.9737
2000-01-31,-6.0403
2000-02-01,24.2857
2000-02-02,3.4483
2000-02-03,-2.7778
2000-02-04,-1.1429
2000-02-07,0.578
2000-02-08,-1.7241
2000-02-09,2.3392
2000-02-10,-2.8571
2000-02-11,-2.9412000000000003
2000-02-14,-3.6364
2000-02-15,-3.1447
2000-02-16,-1.2987
2000-02-17,-3.2895
2000-02-18,-5.4422
2000-02-22,2.8777
2000-02-23,-1.3986
2000-02-24,-2.8369
2000-02-25,4.3796
2000-02-28,1.3986
2000-02-29,13.1034
2000-03-01,-2.439
2000-03-02,1.25
2000-03-03,5.5556
2000-03-06,-2.924
2000-03-07,-4.8193
2000-03-08,3.1646
2000-03-09,4.908
2000-03-10,-7.6023
2000-03-13,5.6962
2000-03-14,0.0
2000-03-15,0.5988
2000-03-16,3.5714
2000-03-17,-5.7471
2000-03-20,4.2683
2000-03-21,2.3392
2000-03-22,9.7143
2000-03-23,14.0625
2000-03-24,-5.4795
2000-03-27,2.4154999999999998
2000-03-28,-1.8868
2000-03-29,0.0
2000-03-30,-2.8846
2000-03-31,3.9604
2000-04-03,0.0
2000-04-04,0.4762
2000-04-05,0.9479
2000-04-06,0.939
2000-04-07,1.3953
2000-04-10,2.7523
2000-04-11,-2.2321
2000-04-12,-3.1963
2000-04-13,0.0
2000-04-14,-8.9623
2000-04-17,0.5181
2000-04-18,6.1856
2000-04-19,-0.4854
2000-04-20,0.4878
2000-04-24,0.4854
2000-04-25,0.4831
2000-04-26,0.4808
2000-04-27,-0.4785
2000-04-28,-0.4808
2000-05-01,4.8309
2000-05-02,4.6083
2000-05-03,-3.5242
2000-05-04,-1.8265
2000-05-05,-2.3256
2000-05-08,-0.4762
2000-05-09,-2.3923
2000-05-10,-0.4902
2000-05-11,-0.4926
2000-05-12,2.9703
2000-05-15,2.4038
2000-05-16,1.8779
2000-05-17,7.3733
2000-05-18,-4.2918
2000-05-19,3.1390000000000002
2000-05-22,-2.1739
