ticker,ETV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-28,0.0
2005-06-29,0.25
2005-06-30,0.6484
2005-07-01,-0.6938
2005-07-05,-0.0998
2005-07-06,0.6494
2005-07-07,0.2978
2005-07-08,-0.2969
2005-07-11,-0.0496
2005-07-12,0.2483
2005-07-13,0.7429
2005-07-14,0.9833
2005-07-15,0.2921
2005-07-18,0.0
2005-07-19,-1.2136
2005-07-20,0.1966
2005-07-21,-1.0299
2005-07-22,0.6938
2005-07-25,-0.3445
2005-07-26,0.8889
2005-07-27,0.2937
2005-07-28,-2.3914
2005-07-29,0.25
2005-08-01,0.1496
2005-08-02,-0.249
2005-08-03,0.0499
2005-08-04,-0.0998
2005-08-05,-0.05
2005-08-08,0.0
2005-08-09,-0.05
2005-08-10,-0.15
2005-08-11,0.2003
2005-08-12,-0.2999
2005-08-15,0.3509
2005-08-16,-0.5495
2005-08-17,0.7534
2005-08-18,-0.0499
2005-08-19,-0.2494
2005-08-22,0.1
2005-08-23,-0.0999
2005-08-24,-0.25
2005-08-25,0.2005
2005-08-26,-0.9505
2005-08-29,0.5051
2005-08-30,0.0
2005-08-31,-0.2513
2005-09-01,0.2015
2005-09-02,0.0
2005-09-06,0.0503
2005-09-07,0.6533
2005-09-08,-0.3994
2005-09-09,0.1504
2005-09-12,0.0
2005-09-13,0.2002
2005-09-14,-0.05
2005-09-15,0.3998
2005-09-16,0.4978
2005-09-19,-0.2972
2005-09-20,0.0994
2005-09-21,1.2655
2005-09-22,-1.9567999999999999
2005-09-23,1.3306
2005-09-26,-0.2525
2005-09-27,-1.1139000000000001
2005-09-28,-0.3072
2005-09-29,0.2054
2005-09-30,0.1025
2005-10-03,-0.768
2005-10-04,0.6192
2005-10-05,0.2564
2005-10-06,0.2558
2005-10-07,0.3061
2005-10-10,0.0515
2005-10-11,-1.0682
2005-10-12,0.0514
2005-10-13,-0.3595
2005-10-14,-0.3093
2005-10-17,-0.3619
2005-10-18,-1.6606
2005-10-19,-0.0528
2005-10-20,0.8448
2005-10-21,-0.2618
2005-10-24,-0.0525
2005-10-25,0.5777
2005-10-26,-0.7833
2005-10-27,0.1053
2005-10-28,1.4721
2005-10-31,-0.7772
2005-11-01,0.4178
2005-11-02,0.26
2005-11-03,0.2075
2005-11-04,0.1553
2005-11-07,0.7752
2005-11-08,-0.6667
2005-11-09,0.413
2005-11-10,-0.7198
2005-11-11,-0.3107
2005-11-14,-0.1558
2005-11-15,-1.6649
2005-11-16,-0.3175
