ticker,B US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.3831
2000-01-04,-2.3077
2000-01-05,-0.7874
2000-01-06,-0.7937
2000-01-07,-0.8
2000-01-10,-0.4032
2000-01-11,-1.2146
2000-01-12,0.0
2000-01-13,4.5082
2000-01-14,-1.9607999999999999
2000-01-18,-0.4
2000-01-19,0.4016
2000-01-20,-2.4
2000-01-21,1.2295
2000-01-24,-2.0243
2000-01-25,-0.8264
2000-01-26,1.25
2000-01-27,-1.6461000000000001
2000-01-28,0.0
2000-01-31,-2.5105
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,-0.4292
2000-02-04,-0.431
2000-02-07,0.0
2000-02-08,1.2987
2000-02-09,-0.8547
2000-02-10,-3.0172
2000-02-11,-4.0
2000-02-14,3.2407
2000-02-15,-2.6906
2000-02-16,-0.4608
2000-02-17,4.6296
2000-02-18,-0.885
2000-02-22,-3.5714
2000-02-23,2.7778
2000-02-24,-2.2523
2000-02-25,0.0
2000-02-28,2.3226
2000-02-29,3.653
2000-03-01,-1.7621
2000-03-02,0.4484
2000-03-03,-2.6786
2000-03-06,-0.9174
2000-03-07,-2.7778
2000-03-08,0.9524
2000-03-09,-2.8302
2000-03-10,-1.9417
2000-03-13,1.9802
2000-03-14,-2.9126
2000-03-15,-2.5
2000-03-16,13.8462
2000-03-17,0.9009
2000-03-20,1.3393
2000-03-21,0.4405
2000-03-22,3.9474
2000-03-23,1.6878
2000-03-24,0.4149
2000-03-27,1.2397
2000-03-28,-0.4082
2000-03-29,-4.0984
2000-03-30,1.7094
2000-03-31,-2.521
2000-04-03,6.0345
2000-04-04,0.813
2000-04-05,2.8226
2000-04-06,4.3137
2000-04-07,-3.7594
2000-04-10,4.6875
2000-04-11,1.1194
2000-04-12,1.845
2000-04-13,0.7246
2000-04-14,-5.036
2000-04-17,3.0303
2000-04-18,0.0
2000-04-19,0.3676
2000-04-20,-0.3663
2000-04-24,-0.7353
2000-04-25,1.4815
2000-04-26,-0.7299
2000-04-27,-0.3676
2000-04-28,0.0
2000-05-01,6.6421
2000-05-02,-1.7301
2000-05-03,0.3521
2000-05-04,0.7018
2000-05-05,-2.0906
2000-05-08,-2.847
2000-05-09,2.1978
2000-05-10,-2.8674
2000-05-11,1.107
2000-05-12,-9.4891
2000-05-15,6.4516
2000-05-16,1.5152
2000-05-17,-1.4925
2000-05-18,-1.5152
2000-05-19,-0.3846
2000-05-22,1.9304999999999999
2000-05-23,0.0
2000-05-24,-0.7576
