ticker,JCGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-8.3333
2000-01-05,-1.8182
2000-01-06,-11.1111
2000-01-07,0.0
2000-01-10,-4.1667
2000-01-11,-8.6957
2000-01-12,-2.3810000000000002
2000-01-13,4.878
2000-01-14,-4.6512
2000-01-18,4.878
2000-01-19,0.0
2000-01-20,-4.6512
2000-01-21,-2.439
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,-5.0
2000-01-27,0.0
2000-01-28,-7.8947
2000-01-31,5.7143
2000-02-01,2.7027
2000-02-02,-2.6316
2000-02-03,-5.4054
2000-02-04,0.0
2000-02-07,2.8571
2000-02-08,-2.7778
2000-02-09,2.8571
2000-02-10,-2.7778
2000-02-11,0.0
2000-02-14,2.8571
2000-02-15,-2.7778
2000-02-16,2.8571
2000-02-17,0.0
2000-02-18,-2.7778
2000-02-22,2.8571
2000-02-23,0.0
2000-02-24,-2.7778
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,-2.8571
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,0.0
2000-03-07,-5.8824
2000-03-08,3.125
2000-03-09,3.0303
2000-03-10,-2.9412000000000003
2000-03-13,0.0
2000-03-14,0.0
2000-03-15,-3.0303
2000-03-16,6.25
2000-03-17,-5.8824
2000-03-20,6.25
2000-03-21,2.9412000000000003
2000-03-22,2.8571
2000-03-23,11.1111
2000-03-24,-5.0
2000-03-27,-2.6316
2000-03-28,0.0
2000-03-29,-2.7027
2000-03-30,-2.7778
2000-03-31,2.8571
2000-04-03,-8.3333
2000-04-04,-3.0303
2000-04-05,3.125
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,-6.0606
2000-04-11,-3.2258
2000-04-12,6.6667
2000-04-13,3.125
2000-04-14,-15.1515
2000-04-17,3.5714
2000-04-18,0.0
2000-04-19,-3.4483
2000-04-20,3.5714
2000-04-24,-3.4483
2000-04-25,10.7143
2000-04-26,-3.2258
2000-04-27,-3.3333
2000-04-28,-3.4483
2000-05-01,-7.1429
2000-05-02,3.8462
2000-05-03,-11.1111
2000-05-04,8.3333
2000-05-05,-7.6923
2000-05-08,4.1667
2000-05-09,-4.0
2000-05-10,-4.1667
2000-05-11,0.0
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,4.3478
2000-05-17,16.6667
2000-05-18,0.0
2000-05-19,-3.5714
2000-05-22,-3.7037
2000-05-23,-3.8462
2000-05-24,-8.0
2000-05-25,4.3478
