ticker,AGY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.4016
2000-01-04,-2.0161
2000-01-05,-1.2346
2000-01-06,0.8333
2000-01-07,5.7851
2000-01-10,3.9063
2000-01-11,-3.0075
2000-01-12,-1.938
2000-01-13,3.9526
2000-01-14,1.1407
2000-01-18,-3.7594
2000-01-19,-1.9531
2000-01-20,0.3984
2000-01-21,5.9524
2000-01-24,-3.3708
2000-01-25,-0.3876
2000-01-26,4.6693
2000-01-27,-5.5762
2000-01-28,-2.7559
2000-01-31,-2.0243
2000-02-01,4.1322
2000-02-02,-1.9841
2000-02-03,-6.8826
2000-02-04,0.0
2000-02-07,0.8696
2000-02-08,-3.0172
2000-02-09,-0.4444
2000-02-10,1.7856999999999998
2000-02-11,-4.386
2000-02-14,-5.9633
2000-02-15,-4.3902
2000-02-16,-3.5714
2000-02-17,-8.9947
2000-02-18,2.3256
2000-02-22,-7.3864
2000-02-23,3.0675
2000-02-24,10.7143
2000-02-25,-8.6022
2000-02-28,0.5882
2000-02-29,5.848
2000-03-01,-2.2099
2000-03-02,2.2599
2000-03-03,3.8674
2000-03-06,-2.1277
2000-03-07,-0.5435
2000-03-08,0.5464
2000-03-09,3.8043
2000-03-10,16.2304
2000-03-13,-0.9009
2000-03-14,0.9091
2000-03-15,-3.1532
2000-03-16,-1.8605
2000-03-17,-0.4739
2000-03-20,0.0
2000-03-21,-0.9524
2000-03-22,-2.8846
2000-03-23,5.4455
2000-03-24,4.2254
2000-03-27,-2.2523
2000-03-28,0.4608
2000-03-29,-0.9174
2000-03-30,2.3148
2000-03-31,3.1673999999999998
2000-04-03,3.9474
2000-04-04,-4.2194
2000-04-05,1.7621
2000-04-06,0.8658
2000-04-07,2.1459
2000-04-10,-0.8403
2000-04-11,-0.8475
2000-04-12,1.7094
2000-04-13,-0.8403
2000-04-14,-6.3559
2000-04-17,-4.9774
2000-04-18,8.0952
2000-04-19,4.4053
2000-04-20,0.0
2000-04-24,1.6878
2000-04-25,2.4896
2000-04-26,-1.6194
2000-04-27,-0.4115
2000-04-28,5.7851
2000-05-01,5.0781
2000-05-02,-4.461
2000-05-03,0.3891
2000-05-04,0.7752
2000-05-05,1.5385
2000-05-08,-1.5152
2000-05-09,1.9231
2000-05-10,-0.7547
2000-05-11,3.4221
2000-05-12,0.7353
2000-05-15,0.0
2000-05-16,-1.0949
2000-05-17,-0.369
2000-05-18,-2.5926
2000-05-19,0.3802
2000-05-22,-3.0303
2000-05-23,0.3906
