ticker,WRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7657
2000-01-04,-0.6536
2000-01-05,-0.1645
2000-01-06,0.1647
2000-01-07,4.2763
2000-01-10,1.1041
2000-01-11,-1.092
2000-01-12,-0.3155
2000-01-13,1.2658
2000-01-14,-0.1563
2000-01-18,0.939
2000-01-19,-0.6202
2000-01-20,-0.156
2000-01-21,-0.625
2000-01-24,-2.044
2000-01-25,-1.1236
2000-01-26,-0.1623
2000-01-27,-0.813
2000-01-28,-0.4918
2000-01-31,-1.6474
2000-02-01,0.5025
2000-02-02,-0.1667
2000-02-03,-0.1669
2000-02-04,-0.5017
2000-02-07,-0.3361
2000-02-08,-1.1804000000000001
2000-02-09,-0.3413
2000-02-10,-1.7123
2000-02-11,-1.2195
2000-02-14,-0.5291
2000-02-15,-0.5319
2000-02-16,-1.0695000000000001
2000-02-17,0.7207
2000-02-18,0.5367
2000-02-22,1.6014
2000-02-23,-0.1751
2000-02-24,1.4035
2000-02-25,0.173
2000-02-28,0.6908
2000-02-29,2.5728999999999997
2000-03-01,0.6689
2000-03-02,-0.3322
2000-03-03,-0.5
2000-03-06,-0.8547
2000-03-07,-0.6897
2000-03-08,-0.1736
2000-03-09,-0.1739
2000-03-10,-0.3484
2000-03-13,0.0
2000-03-14,-1.049
2000-03-15,0.8834
2000-03-16,2.4518
2000-03-17,1.0256
2000-03-20,-0.846
2000-03-21,0.3413
2000-03-22,0.6803
2000-03-23,0.5068
2000-03-24,-0.5042
2000-03-27,-0.6757
2000-03-28,-0.5102
2000-03-29,0.0
2000-03-30,0.5128
2000-03-31,0.0
2000-04-03,0.6803
2000-04-04,1.1824
2000-04-05,0.8347
2000-04-06,0.8278
2000-04-07,-0.6568
2000-04-10,0.4959
2000-04-11,0.0
2000-04-12,2.1382
2000-04-13,0.0
2000-04-14,0.6441
2000-04-17,-1.28
2000-04-18,0.4862
2000-04-19,0.6452
2000-04-20,0.1603
2000-04-24,0.32
2000-04-25,1.9139
2000-04-26,0.0
2000-04-27,0.939
2000-04-28,0.4651
2000-05-01,2.3148
2000-05-02,1.6591
2000-05-03,0.2967
2000-05-04,-0.4438
2000-05-05,-1.0401
2000-05-08,-0.4505
2000-05-09,-1.2066
2000-05-10,0.1527
2000-05-11,0.9146
2000-05-12,-0.4532
2000-05-15,1.214
2000-05-16,0.0
2000-05-17,-1.2214
2000-05-18,0.4637
2000-05-19,-0.1538
2000-05-22,0.9245
2000-05-23,-1.0687
2000-05-24,0.3086
