ticker,SPCBQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.6358
2000-01-04,0.0
2000-01-05,-2.0833
2000-01-06,4.6099
2000-01-07,5.0847
2000-01-10,2.2580999999999998
2000-01-11,0.0
2000-01-12,3.7855
2000-01-13,6.6869
2000-01-14,-1.9943
2000-01-18,3.4884
2000-01-19,1.6854
2000-01-20,-1.105
2000-01-21,0.2793
2000-01-24,-0.2786
2000-01-25,-2.2346
2000-01-26,-2.5714
2000-01-27,0.5865
2000-01-28,0.5831
2000-01-31,0.2899
2000-02-01,-4.6243
2000-02-02,1.8182
2000-02-03,3.5714
2000-02-04,2.8736
2000-02-07,0.0
2000-02-08,-0.2793
2000-02-09,0.0
2000-02-10,5.3221
2000-02-11,-0.7979
2000-02-14,-6.4343
2000-02-15,-2.2923
2000-02-16,-1.7595
2000-02-17,-3.8806000000000003
2000-02-18,-7.4534
2000-02-22,0.6711
2000-02-23,3.3333
2000-02-24,1.6129
2000-02-25,1.2698
2000-02-28,-0.9404
2000-02-29,5.0633
2000-03-01,5.1205
2000-03-02,-0.8596
2000-03-03,-2.0231
2000-03-06,-0.885
2000-03-07,-11.607099999999999
2000-03-08,0.0
2000-03-09,2.0202
2000-03-10,0.33
2000-03-13,-2.3026
2000-03-14,2.3569
2000-03-15,4.6053
2000-03-16,11.9497
2000-03-17,0.8427
2000-03-20,-1.3928
2000-03-21,3.6723
2000-03-22,4.9046
2000-03-23,-0.2597
2000-03-24,8.3333
2000-03-27,-8.8942
2000-03-28,-2.9024
2000-03-29,2.9891
2000-03-30,2.1108
2000-03-31,-3.876
2000-04-03,4.5699
2000-04-04,-2.0566
2000-04-05,-1.5748
2000-04-06,-0.8
2000-04-07,0.5376
2000-04-10,-1.3369
2000-04-11,-0.271
2000-04-12,-2.4457
2000-04-13,-1.6713
2000-04-14,-2.2663
2000-04-17,-2.3188
2000-04-18,-1.4837
2000-04-19,1.2048
2000-04-20,2.0833
2000-04-24,-2.0408
2000-04-25,5.6548
2000-04-26,-3.9436999999999998
2000-04-27,-1.7595
2000-04-28,-0.2985
2000-05-01,2.6946
2000-05-02,-2.9154999999999998
2000-05-03,-3.9039
2000-05-04,-2.1875
2000-05-05,4.4728
2000-05-08,-2.4465
2000-05-09,-0.627
2000-05-10,0.0
2000-05-11,0.9464
2000-05-12,-0.625
2000-05-15,1.8868
2000-05-16,2.7778
2000-05-17,-3.003
2000-05-18,0.3096
2000-05-19,2.1605
2000-05-22,-1.5106000000000002
