ticker,BOL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.9315
2000-01-04,0.7685
2000-01-05,0.4766
2000-01-06,5.1233
2000-01-07,4.6931
2000-01-10,-2.5862
2000-01-11,0.0885
2000-01-12,-1.4147
2000-01-13,4.3946
2000-01-14,-3.6942
2000-01-18,-0.8029
2000-01-19,0.6295
2000-01-20,-10.0983
2000-01-21,-5.3678
2000-01-24,-1.6806999999999999
2000-01-25,-0.8547
2000-01-26,-3.0172
2000-01-27,7.5556
2000-01-28,3.3058
2000-01-31,-0.8
2000-02-01,1.6129
2000-02-02,1.3889
2000-02-03,-0.3914
2000-02-04,1.4735
2000-02-07,-3.6786
2000-02-08,1.9095
2000-02-09,-0.0986
2000-02-10,-3.1589
2000-02-11,-2.8542
2000-02-14,0.7345
2000-02-15,0.0
2000-02-16,-1.4583
2000-02-17,2.0085
2000-02-18,-0.5181
2000-02-22,0.0
2000-02-23,-2.5
2000-02-24,1.1752
2000-02-25,-2.9567
2000-02-28,0.1088
2000-02-29,-8.2609
2000-03-01,-0.5924
2000-03-02,0.3576
2000-03-03,-0.2375
2000-03-06,-3.3333
2000-03-07,-1.3547
2000-03-08,1.5181
2000-03-09,2.3486000000000002
2000-03-10,1.087
2000-03-13,-2.509
2000-03-14,-0.2451
2000-03-15,4.6683
2000-03-16,5.3991
2000-03-17,-2.5612
2000-03-20,-0.5714
2000-03-21,1.4943
2000-03-22,2.1518
2000-03-23,-1.5521
2000-03-24,0.0
2000-03-27,-3.7161999999999997
2000-03-28,-3.5088
2000-03-29,-3.0303
2000-03-30,-2.0
2000-03-31,6.5051
2000-04-03,-4.1916
2000-04-04,-1.0
2000-04-05,-0.5051
2000-04-06,1.0152
2000-04-07,-1.1307
2000-04-10,5.7179
2000-04-11,1.9231
2000-04-12,4.3632
2000-04-13,2.2599
2000-04-14,-4.3094
2000-04-17,-4.388
2000-04-18,2.0531
2000-04-19,2.6036
2000-04-20,-0.2307
2000-04-24,5.0867
2000-04-25,5.1705
2000-04-26,-3.2427
2000-04-27,2.2702999999999998
2000-04-28,2.2199
2000-05-01,0.4137
2000-05-02,-0.4119
2000-05-03,-2.4819
2000-05-04,-1.4846
2000-05-05,5.5974
2000-05-08,-1.2232
2000-05-09,-0.7224
2000-05-10,5.0936
2000-05-11,0.7913
2000-05-12,1.3739
2000-05-15,2.5169
2000-05-16,3.6827
2000-05-17,-3.8251
2000-05-18,0.7576
2000-05-19,0.0
2000-05-22,1.6917
2000-05-23,3.512
