ticker,PIRRQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9804
2000-01-04,-4.9505
2000-01-05,-1.0417
2000-01-06,16.8421
2000-01-07,10.8108
2000-01-10,-8.9431
2000-01-11,4.4643
2000-01-12,0.8547
2000-01-13,4.2373
2000-01-14,-4.065
2000-01-18,0.8475
2000-01-19,7.563
2000-01-20,-3.125
2000-01-21,-2.4194
2000-01-24,2.4793
2000-01-25,-0.8065
2000-01-26,10.5691
2000-01-27,-2.2059
2000-01-28,0.7519
2000-01-31,-1.1343
2000-02-01,-1.5152
2000-02-02,3.8462
2000-02-03,6.6667
2000-02-04,-3.4722
2000-02-07,2.1583
2000-02-08,1.4085
2000-02-09,2.0833
2000-02-10,-2.0408
2000-02-11,-0.6944
2000-02-14,-0.6993
2000-02-15,-1.4085
2000-02-16,-0.7143
2000-02-17,-2.1583
2000-02-18,0.7353
2000-02-22,-1.4599
2000-02-23,-2.2222
2000-02-24,-1.5152
2000-02-25,-4.6154
2000-02-28,1.6129
2000-02-29,11.1111
2000-03-01,0.0
2000-03-02,-3.5714
2000-03-03,-0.7407
2000-03-06,-2.9851
2000-03-07,-1.5385
2000-03-08,0.7813
2000-03-09,3.876
2000-03-10,-0.7463
2000-03-13,0.0
2000-03-14,3.3835
2000-03-15,1.0458
2000-03-16,4.5884
2000-03-17,-0.2154
2000-03-20,0.7759
2000-03-21,5.3892
2000-03-22,-1.9481000000000002
2000-03-23,-1.3245
2000-03-24,-0.6711
2000-03-27,-3.3784
2000-03-28,1.3986
2000-03-29,0.6897
2000-03-30,4.1096
2000-03-31,7.8947
2000-04-03,15.8537
2000-04-04,-10.0
2000-04-05,5.5556
2000-04-06,1.385
2000-04-07,0.5464
2000-04-10,-0.5435
2000-04-11,-2.1858
2000-04-12,2.2346
2000-04-13,-0.5464
2000-04-14,-7.6923
2000-04-17,-1.7856999999999998
2000-04-18,1.8182
2000-04-19,2.9762
2000-04-20,0.0
2000-04-24,1.1561
2000-04-25,3.4286
2000-04-26,1.105
2000-04-27,-0.5464
2000-04-28,0.0
2000-05-01,-1.9341
2000-05-02,-1.6854
2000-05-03,-10.857099999999999
2000-05-04,1.2821
2000-05-05,6.3291
2000-05-08,1.1905000000000001
2000-05-09,2.3529
2000-05-10,-2.8736
2000-05-11,5.9172
2000-05-12,-0.5587
2000-05-15,0.5618
2000-05-16,-0.5587
2000-05-17,-4.4944
2000-05-18,-4.1176
2000-05-19,-3.0675
2000-05-22,-4.4304
