ticker,UNTCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.6911000000000005
2000-01-04,-3.4483
2000-01-05,0.0
2000-01-06,2.6786
2000-01-07,4.3478
2000-01-10,-9.1667
2000-01-11,0.9174
2000-01-12,3.6364
2000-01-13,4.386
2000-01-14,0.8403
2000-01-18,6.6667
2000-01-19,-1.5625
2000-01-20,-4.7619
2000-01-21,5.0
2000-01-24,0.0
2000-01-25,-1.5873
2000-01-26,2.4194
2000-01-27,-1.5748
2000-01-28,-5.6
2000-01-31,1.6949
2000-02-01,-0.8333
2000-02-02,-0.8403
2000-02-03,5.9322
2000-02-04,-1.6
2000-02-07,5.6911000000000005
2000-02-08,-2.3077
2000-02-09,-1.5748
2000-02-10,1.6
2000-02-11,3.1496
2000-02-14,3.8167999999999997
2000-02-15,3.6765
2000-02-16,-1.4184
2000-02-17,-2.8777
2000-02-18,-1.4815
2000-02-22,-3.7594
2000-02-23,-1.5625
2000-02-24,5.5556
2000-02-25,-0.7519
2000-02-28,-1.5152
2000-02-29,6.9231
2000-03-01,2.8777
2000-03-02,14.6853
2000-03-03,-3.0488
2000-03-06,5.6604
2000-03-07,0.0
2000-03-08,-8.9286
2000-03-09,0.6536
2000-03-10,8.4416
2000-03-13,-3.5928
2000-03-14,-1.2422
2000-03-15,-6.9182
2000-03-16,2.027
2000-03-17,1.3245
2000-03-20,1.3072
2000-03-21,-0.6452
2000-03-22,6.4935
2000-03-23,1.2195
2000-03-24,-1.8072
2000-03-27,-3.0675
2000-03-28,-1.2658
2000-03-29,12.8205
2000-03-30,0.5682
2000-03-31,-0.565
2000-04-03,-2.8409
2000-04-04,-6.4327
2000-04-05,-1.25
2000-04-06,-2.5316
2000-04-07,0.0
2000-04-10,-5.8442
2000-04-11,7.5862
2000-04-12,4.4872
2000-04-13,6.7485
2000-04-14,-8.046
2000-04-17,0.0
2000-04-18,3.75
2000-04-19,4.8193
2000-04-20,1.1494
2000-04-24,-2.8409
2000-04-25,-0.5848
2000-04-26,1.1764999999999999
2000-04-27,4.6512
2000-04-28,-0.5556
2000-05-01,1.6760000000000002
2000-05-02,5.4945
2000-05-03,0.0
2000-05-04,1.5625
2000-05-05,2.5641
2000-05-08,1.5
2000-05-09,2.4631
2000-05-10,-1.9231
2000-05-11,0.4902
2000-05-12,6.3415
2000-05-15,-1.8349
2000-05-16,0.9346
2000-05-17,2.3148
2000-05-18,-1.3575
2000-05-19,-0.4587
2000-05-22,0.0
2000-05-23,-4.6083
