ticker,WGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.4218
2000-01-04,0.0
2000-01-05,-0.9615
2000-01-06,0.9709
2000-01-07,-1.9231
2000-01-10,-6.3725
2000-01-11,-5.2356
2000-01-12,-3.3149
2000-01-13,-0.5714
2000-01-14,6.8966
2000-01-18,3.7634
2000-01-19,1.0363
2000-01-20,1.0256
2000-01-21,8.6294
2000-01-24,0.9346
2000-01-25,-0.9259
2000-01-26,0.4673
2000-01-27,-4.186
2000-01-28,0.0
2000-01-31,-0.9709
2000-02-01,1.9607999999999999
2000-02-02,-4.3269
2000-02-03,3.0151
2000-02-04,2.439
2000-02-07,0.4762
2000-02-08,-4.2654
2000-02-09,-5.9406
2000-02-10,0.0
2000-02-11,3.1579
2000-02-14,-1.0204
2000-02-15,4.1237
2000-02-16,3.9604
2000-02-17,1.9048
2000-02-18,-1.8692
2000-02-22,-3.3333
2000-02-23,4.4335
2000-02-24,-2.3585
2000-02-25,-0.4831
2000-02-28,1.4563
2000-02-29,5.2632
2000-03-01,0.9091
2000-03-02,4.0541
2000-03-03,1.7316
2000-03-06,5.5319
2000-03-07,1.6129
2000-03-08,3.5714
2000-03-09,-0.3831
2000-03-10,0.3846
2000-03-13,-1.9157
2000-03-14,-7.4219
2000-03-15,1.6878
2000-03-16,6.2241
2000-03-17,0.7813
2000-03-20,-0.7752
2000-03-21,-0.7813
2000-03-22,1.5748
2000-03-23,-1.5504
2000-03-24,0.7874
2000-03-27,-3.5156
2000-03-28,0.8097
2000-03-29,5.5422
2000-03-30,5.7252
2000-03-31,-8.3032
2000-04-03,5.5118
2000-04-04,-6.3433
2000-04-05,1.992
2000-04-06,2.3437
2000-04-07,0.3817
2000-04-10,-3.8023
2000-04-11,1.581
2000-04-12,0.3891
2000-04-13,5.814
2000-04-14,-4.0293
2000-04-17,-0.7634
2000-04-18,-3.4615
2000-04-19,0.7968
2000-04-20,0.3953
2000-04-24,0.7874
2000-04-25,0.0
2000-04-26,0.0
2000-04-27,7.4219
2000-04-28,-2.9091
2000-05-01,3.3708
2000-05-02,2.1739
2000-05-03,-2.1277
2000-05-04,2.8986
2000-05-05,5.6338
2000-05-08,0.0
2000-05-09,0.6667
2000-05-10,-3.6424
2000-05-11,8.9347
2000-05-12,4.1009
2000-05-15,0.303
2000-05-16,-3.0211
2000-05-17,-0.3115
2000-05-18,1.5625
2000-05-19,3.3846
2000-05-22,-0.2976
2000-05-23,0.2985
2000-05-24,-2.0833
