ticker,HSE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.3478
2000-01-04,-12.5
2000-01-05,4.7619
2000-01-06,2.0661
2000-01-07,0.4049
2000-01-10,-2.0161
2000-01-11,1.2346
2000-01-12,3.252
2000-01-13,0.0
2000-01-14,3.1496
2000-01-18,-0.7634
2000-01-19,3.0769
2000-01-20,1.1194
2000-01-21,0.0
2000-01-24,-2.214
2000-01-25,-0.3774
2000-01-26,-1.1364
2000-01-27,-4.2146
2000-01-28,-4.8
2000-01-31,0.0
2000-02-01,-3.7815
2000-02-02,6.5502
2000-02-03,2.8689
2000-02-04,1.992
2000-02-07,-2.7344
2000-02-08,-0.4016
2000-02-09,-2.8226
2000-02-10,5.3942
2000-02-11,-4.7244
2000-02-14,2.4793
2000-02-15,4.4355
2000-02-16,0.3861
2000-02-17,-4.2308
2000-02-18,-0.8032
2000-02-22,0.0
2000-02-23,0.4049
2000-02-24,-5.6452
2000-02-25,2.9915000000000003
2000-02-28,2.4896
2000-02-29,6.8826
2000-03-01,-1.5152
2000-03-02,-0.7692
2000-03-03,3.876
2000-03-06,1.1194
2000-03-07,6.2731
2000-03-08,-4.1667
2000-03-09,-0.3623
2000-03-10,3.2727
2000-03-13,-2.1127
2000-03-14,-2.8777
2000-03-15,-4.4444
2000-03-16,7.7519
2000-03-17,-3.9568
2000-03-20,-2.6217
2000-03-21,3.0769
2000-03-22,10.0746
2000-03-23,2.7119
2000-03-24,-2.9703
2000-03-27,-3.0612
2000-03-28,-2.4561
2000-03-29,6.1151
2000-03-30,9.8305
2000-03-31,4.321
2000-04-03,4.142
2000-04-04,-2.8409
2000-04-05,-8.7719
2000-04-06,-2.5641
2000-04-07,1.6447
2000-04-10,-3.2362
2000-04-11,-0.3344
2000-04-12,15.4362
2000-04-13,2.0349
2000-04-14,-5.698
2000-04-17,-5.136
2000-04-18,12.1019
2000-04-19,-2.8409
2000-04-20,3.2164
2000-04-24,-2.5496
2000-04-25,9.3023
2000-04-26,-0.5319
2000-04-27,4.2781
2000-04-28,-0.7692
2000-05-01,3.6176
2000-05-02,-2.9925
2000-05-03,-0.5141
2000-05-04,2.8424
2000-05-05,-0.5025
2000-05-08,-0.5051
2000-05-09,0.7614
2000-05-10,0.0
2000-05-11,3.2746
2000-05-12,-0.7317
2000-05-15,3.1941
2000-05-16,0.4762
2000-05-17,4.7393
2000-05-18,-2.0362
2000-05-19,1.1547
2000-05-22,1.3699
2000-05-23,0.9009
2000-05-24,6.25
