ticker,SCX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9499
2000-01-04,-1.9886
2000-01-05,-0.8696
2000-01-06,-0.5848
2000-01-07,-3.5294
2000-01-10,2.439
2000-01-11,-0.2976
2000-01-12,0.0
2000-01-13,0.2985
2000-01-14,2.3810000000000002
2000-01-18,0.0
2000-01-19,5.814
2000-01-20,2.1978
2000-01-21,4.3011
2000-01-24,-2.5773
2000-01-25,2.1164
2000-01-26,2.5907
2000-01-27,-0.5051
2000-01-28,0.2538
2000-01-31,-2.7848
2000-02-01,-3.125
2000-02-02,-0.5376
2000-02-03,-1.0811
2000-02-04,0.0
2000-02-07,0.5464
2000-02-08,0.5435
2000-02-09,-3.7838000000000003
2000-02-10,-1.9663
2000-02-11,-3.7249
2000-02-14,-0.5952
2000-02-15,2.3952
2000-02-16,2.3392
2000-02-17,-0.5714
2000-02-18,-3.4483
2000-02-22,1.7856999999999998
2000-02-23,1.7544
2000-02-24,-3.7356
2000-02-25,-0.2985
2000-02-28,3.8922
2000-02-29,6.0519
2000-03-01,-1.6303999999999998
2000-03-02,0.2762
2000-03-03,-1.9284
2000-03-06,-1.1236
2000-03-07,0.0
2000-03-08,0.0
2000-03-09,0.8523
2000-03-10,-1.9718
2000-03-13,0.9195
2000-03-14,2.5862
2000-03-15,0.0
2000-03-16,2.8011
2000-03-17,0.0
2000-03-20,0.2725
2000-03-21,1.6303999999999998
2000-03-22,0.2674
2000-03-23,-2.4
2000-03-24,0.2732
2000-03-27,1.9074
2000-03-28,-2.1390000000000002
2000-03-29,-0.5464
2000-03-30,-0.2747
2000-03-31,3.5813
2000-04-03,-0.5319
2000-04-04,-0.2674
2000-04-05,2.681
2000-04-06,-1.0444
2000-04-07,0.7916
2000-04-10,-1.0471
2000-04-11,-4.7619
2000-04-12,3.6111
2000-04-13,0.0
2000-04-14,0.8043
2000-04-17,2.1277
2000-04-18,-0.2604
2000-04-19,-0.2611
2000-04-20,0.5236
2000-04-24,0.0
2000-04-25,0.5208
2000-04-26,-0.5181
2000-04-27,0.0
2000-04-28,1.0417
2000-05-01,-0.5155
2000-05-02,-4.1451
2000-05-03,0.0
2000-05-04,-5.9459
2000-05-05,0.8621
2000-05-08,-0.2849
2000-05-09,-2.2857
2000-05-10,-2.3392
2000-05-11,-1.7964
2000-05-12,-1.8293
2000-05-15,0.3106
2000-05-16,-0.3096
2000-05-17,-0.6211
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,-0.9375
