ticker,BKS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3333
2000-01-04,-2.5078
2000-01-05,0.6431
2000-01-06,18.5304
2000-01-07,0.8086
2000-01-10,3.7433
2000-01-11,-2.3196
2000-01-12,-3.9577999999999998
2000-01-13,-3.2967
2000-01-14,-0.2841
2000-01-18,-3.4188
2000-01-19,4.1298
2000-01-20,6.5156
2000-01-21,-5.3191
2000-01-24,-1.6854
2000-01-25,0.5714
2000-01-26,-1.9886
2000-01-27,0.8696
2000-01-28,-3.4483
2000-01-31,-4.1667
2000-02-01,2.795
2000-02-02,-1.2085
2000-02-03,5.5046
2000-02-04,-3.7681
2000-02-07,0.3012
2000-02-08,-0.3003
2000-02-09,0.0
2000-02-10,-1.506
2000-02-11,-2.7523
2000-02-14,1.2579
2000-02-15,0.6211
2000-02-16,-2.1605
2000-02-17,-2.2082
2000-02-18,-0.6452
2000-02-22,-4.8701
2000-02-23,-2.7304
2000-02-24,-4.2105
2000-02-25,-0.7326
2000-02-28,-1.107
2000-02-29,2.9851
2000-03-01,0.7246
2000-03-02,2.1583
2000-03-03,3.8731999999999998
2000-03-06,-9.1525
2000-03-07,-0.3731
2000-03-08,1.4981
2000-03-09,8.4871
2000-03-10,-4.4218
2000-03-13,-1.7793999999999999
2000-03-14,2.8986
2000-03-15,1.0563
2000-03-16,11.8467
2000-03-17,-1.5575999999999999
2000-03-20,0.9494
2000-03-21,1.2539
2000-03-22,2.1672
2000-03-23,7.2727
2000-03-24,-0.2825
2000-03-27,0.0
2000-03-28,-3.3994
2000-03-29,-0.5865
2000-03-30,3.2448
2000-03-31,7.1429
2000-04-03,-2.9333
2000-04-04,-6.5934
2000-04-05,0.2941
2000-04-06,-2.0528
2000-04-07,-1.1976
2000-04-10,-1.5152
2000-04-11,6.4615
2000-04-12,-6.3584
2000-04-13,-4.0123
2000-04-14,-5.1447
2000-04-17,-2.0339
2000-04-18,1.0381
2000-04-19,-2.0548
2000-04-20,-0.6993
2000-04-24,0.7042
2000-04-25,-2.0979
2000-04-26,2.8571
2000-04-27,-1.3889
2000-04-28,4.2254
2000-05-01,1.0135
2000-05-02,-5.6856
2000-05-03,-2.8369
2000-05-04,-0.365
2000-05-05,1.8315000000000001
2000-05-08,2.1583
2000-05-09,-2.1127
2000-05-10,-1.0791
2000-05-11,1.4545
2000-05-12,0.3584
2000-05-15,5.3571
2000-05-16,-2.3729
2000-05-17,-1.0417
2000-05-18,1.0526
2000-05-19,-1.0417
