ticker,PNY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3195
2000-01-04,1.073
2000-01-05,1.0616
2000-01-06,0.4202
2000-01-07,-0.8368
2000-01-10,-0.8439
2000-01-11,-1.0638
2000-01-12,1.7204000000000002
2000-01-13,1.4799
2000-01-14,-2.2917
2000-01-18,0.6397
2000-01-19,0.0
2000-01-20,1.4830999999999999
2000-01-21,-0.4175
2000-01-24,0.6289
2000-01-25,-1.4583
2000-01-26,-0.4228
2000-01-27,-0.6369
2000-01-28,-0.8547
2000-01-31,-1.7241
2000-02-01,1.7544
2000-02-02,0.2155
2000-02-03,0.6452
2000-02-04,-1.4957
2000-02-07,-1.3014999999999999
2000-02-08,-1.3187
2000-02-09,-0.6682
2000-02-10,-0.4484
2000-02-11,-1.1261
2000-02-14,-3.6446
2000-02-15,-1.6548
2000-02-16,-0.4808
2000-02-17,0.2415
2000-02-18,-2.1687
2000-02-22,-6.4039
2000-02-23,4.4737
2000-02-24,-1.0076
2000-02-25,0.0
2000-02-28,1.5267
2000-02-29,-0.7519
2000-03-01,-2.0202
2000-03-02,0.5155
2000-03-03,0.2564
2000-03-06,3.5806
2000-03-07,0.2469
2000-03-08,0.9852
2000-03-09,0.0
2000-03-10,-2.6829
2000-03-13,-0.2506
2000-03-14,0.2513
2000-03-15,0.0
2000-03-16,5.2632
2000-03-17,-2.1429
2000-03-20,1.2165
2000-03-21,1.2019
2000-03-22,1.3872
2000-03-23,-0.4751
2000-03-24,-2.864
2000-03-27,0.4914
2000-03-28,-0.978
2000-03-29,1.7284000000000002
2000-03-30,-0.4854
2000-03-31,1.7073
2000-04-03,1.9184999999999999
2000-04-04,-1.1764999999999999
2000-04-05,1.6667
2000-04-06,1.8735
2000-04-07,-1.1494
2000-04-10,-0.4651
2000-04-11,-0.7009
2000-04-12,1.6471
2000-04-13,1.8519
2000-04-14,-3.6364
2000-04-17,1.8868
2000-04-18,-0.463
2000-04-19,0.4651
2000-04-20,0.2315
2000-04-24,-0.6928
2000-04-25,3.4884
2000-04-26,0.4494
2000-04-27,-1.3423
2000-04-28,2.4943
2000-05-01,-1.7699
2000-05-02,0.2252
2000-05-03,-1.3483
2000-05-04,1.139
2000-05-05,0.2252
2000-05-08,-0.4494
2000-05-09,-1.1287
2000-05-10,2.2831
2000-05-11,4.0179
2000-05-12,-0.8584
2000-05-15,0.6494
2000-05-16,1.2903
2000-05-17,-0.6369
2000-05-18,-0.641
2000-05-19,-1.9355
2000-05-22,-1.0965
