ticker,ITW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.4579
2000-01-04,-4.501
2000-01-05,1.2295
2000-01-06,-0.7085
2000-01-07,6.422
2000-01-10,1.9157
2000-01-11,-1.0338
2000-01-12,-1.2346
2000-01-13,5.0962
2000-01-14,-1.1894
2000-01-18,-4.3519
2000-01-19,-0.2904
2000-01-20,-2.233
2000-01-21,-0.7944
2000-01-24,-1.8018
2000-01-25,-2.7523
2000-01-26,1.153
2000-01-27,-0.9326
2000-01-28,-3.7657
2000-01-31,1.7391
2000-02-01,1.3889
2000-02-02,0.0
2000-02-03,1.7913999999999999
2000-02-04,-0.1035
2000-02-07,0.4145
2000-02-08,-1.4447999999999999
2000-02-09,-0.733
2000-02-10,-3.7975
2000-02-11,-2.3026
2000-02-14,-1.7957
2000-02-15,6.9714
2000-02-16,-1.1752
2000-02-17,-0.4324
2000-02-18,-2.1716
2000-02-22,2.7747
2000-02-23,2.3758
2000-02-24,-4.5359
2000-02-25,-6.7402999999999995
2000-02-28,-0.9479
2000-02-29,-1.0766
2000-03-01,2.5393
2000-03-02,0.0
2000-03-03,4.0094
2000-03-06,-2.1542
2000-03-07,-2.6651
2000-03-08,2.9762
2000-03-09,1.5029
2000-03-10,-0.9112
2000-03-13,-0.3448
2000-03-14,-0.346
2000-03-15,8.3333
2000-03-16,10.0427
2000-03-17,0.6796
2000-03-20,-3.9537
2000-03-21,-0.3012
2000-03-22,-1.4099
2000-03-23,-1.5322
2000-03-24,-1.1411
2000-03-27,-1.9675
2000-03-28,-2.3816
2000-03-29,0.9737
2000-03-30,1.1983
2000-03-31,-4.8439
2000-04-03,7.1267
2000-04-04,1.3728
2000-04-05,-1.5625
2000-04-06,-0.5291
2000-04-07,-0.8511
2000-04-10,1.8239999999999998
2000-04-11,1.1591
2000-04-12,6.6667
2000-04-13,-3.0273
2000-04-14,-4.7331
2000-04-17,3.277
2000-04-18,-3.173
2000-04-19,2.3256
2000-04-20,-0.1033
2000-04-24,2.4819
2000-04-25,2.8254
2000-04-26,-1.9627
2000-04-27,0.5005
2000-04-28,2.0916
2000-05-01,-0.4878
2000-05-02,0.9804
2000-05-03,-2.3301
2000-05-04,-0.5964
2000-05-05,1.7
2000-05-08,-0.4916
2000-05-09,-0.8893
2000-05-10,0.1994
2000-05-11,1.592
2000-05-12,-1.4691
2000-05-15,-0.0994
2000-05-16,3.0846
2000-05-17,-0.1931
2000-05-18,-2.1277
2000-05-19,-0.5929
2000-05-22,-2.4851
