ticker,JCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7244
2000-01-04,-4.9423
2000-01-05,-1.5598
2000-01-06,-1.0563
2000-01-07,1.4235
2000-01-10,3.1579
2000-01-11,-7.1429
2000-01-12,-5.4945
2000-01-13,6.5891
2000-01-14,1.4545
2000-01-18,14.6953
2000-01-19,-5.0
2000-01-20,-0.0719
2000-01-21,2.7054
2000-01-24,-2.8846
2000-01-25,-4.9505
2000-01-26,9.375
2000-01-27,8.5714
2000-01-28,-1.7544
2000-01-31,2.5298
2000-02-01,-3.193
2000-02-02,-2.8486000000000002
2000-02-03,0.9259
2000-02-04,-2.1407
2000-02-07,-2.1875
2000-02-08,5.4313
2000-02-09,-0.4545
2000-02-10,-1.3699
2000-02-11,-2.1605
2000-02-14,-1.7349999999999999
2000-02-15,-0.8026
2000-02-16,-0.8091
2000-02-17,3.5888999999999998
2000-02-18,-5.1969
2000-02-22,1.6611
2000-02-23,-2.1242
2000-02-24,0.8347
2000-02-25,3.3113
2000-02-28,0.4808
2000-02-29,-5.5821
2000-03-01,0.0
2000-03-02,0.6757
2000-03-03,8.0537
2000-03-06,1.087
2000-03-07,-3.533
2000-03-08,7.0064
2000-03-09,6.25
2000-03-10,8.6835
2000-03-13,-5.1546
2000-03-14,-3.5326
2000-03-15,4.6479
2000-03-16,2.288
2000-03-17,-0.5263
2000-03-20,1.3228
2000-03-21,0.2611
2000-03-22,1.0417
2000-03-23,1.8041
2000-03-24,5.3165
2000-03-27,-2.7644
2000-03-28,-0.1236
2000-03-29,-1.2376
2000-03-30,0.0251
2000-03-31,0.5013
2000-04-03,0.7481
2000-04-04,-6.3119
2000-04-05,-1.1889
2000-04-06,2.1390000000000002
2000-04-07,4.4503
2000-04-10,-0.5013
2000-04-11,-0.2519
2000-04-12,-5.9343
2000-04-13,-1.2081
2000-04-14,-5.4348
2000-04-17,5.4597999999999995
2000-04-18,-4.6322
2000-04-19,0.8571
2000-04-20,1.6997
2000-04-24,-1.1142
2000-04-25,8.4507
2000-04-26,-1.9481000000000002
2000-04-27,-0.1325
2000-04-28,-2.5199
2000-05-01,4.0816
2000-05-02,0.3922
2000-05-03,-2.6042
2000-05-04,2.8075
2000-05-05,2.7308
2000-05-08,1.3924
2000-05-09,-1.1236
2000-05-10,-1.0101
2000-05-11,-0.6378
2000-05-12,2.6958
2000-05-15,1.5
2000-05-16,0.7389
2000-05-17,-1.1002
2000-05-18,-0.7417
2000-05-19,-5.3238
