ticker,TGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8088
2000-01-04,-4.2105
2000-01-05,4.3956
2000-01-06,3.1579
2000-01-07,0.2551
2000-01-10,0.5089
2000-01-11,-0.5063
2000-01-12,0.7634
2000-01-13,0.7576
2000-01-14,0.2506
2000-01-18,0.0
2000-01-19,-0.75
2000-01-20,0.5038
2000-01-21,-3.2580999999999998
2000-01-24,-0.7772
2000-01-25,0.2611
2000-01-26,1.0417
2000-01-27,-2.0619
2000-01-28,-2.3684
2000-01-31,-1.0782
2000-02-01,3.8147
2000-02-02,1.3123
2000-02-03,1.5544
2000-02-04,0.0
2000-02-07,0.5102
2000-02-08,0.5076
2000-02-09,-4.2929
2000-02-10,8.1794
2000-02-11,-0.9756
2000-02-14,7.8818
2000-02-15,1.3699
2000-02-16,-0.9009
2000-02-17,5.9091000000000005
2000-02-18,0.4292
2000-02-22,-0.8547
2000-02-23,-0.6466
2000-02-24,-1.0846
2000-02-25,0.0
2000-02-28,-0.4386
2000-02-29,3.0837
2000-03-01,-0.4274
2000-03-02,-2.1459
2000-03-03,0.4386
2000-03-06,-0.4367
2000-03-07,2.193
2000-03-08,-0.4292
2000-03-09,-0.6466
2000-03-10,-0.6508
2000-03-13,-1.31
2000-03-14,0.885
2000-03-15,0.2193
2000-03-16,2.407
2000-03-17,2.5641
2000-03-20,3.9583
2000-03-21,4.4088
2000-03-22,-2.4952
2000-03-23,-1.9685000000000001
2000-03-24,-1.8072
2000-03-27,-1.4315
2000-03-28,-1.8672
2000-03-29,0.2114
2000-03-30,-1.2658
2000-03-31,-0.4274
2000-04-03,-1.7167
2000-04-04,0.4367
2000-04-05,-0.8696
2000-04-06,0.4386
2000-04-07,0.0
2000-04-10,2.1834
2000-04-11,0.8547
2000-04-12,-3.3898
2000-04-13,0.0
2000-04-14,-0.6579
2000-04-17,0.2208
2000-04-18,-0.6608
2000-04-19,0.6652
2000-04-20,-0.6608
2000-04-24,-1.1086
2000-04-25,-2.4664
2000-04-26,0.0
2000-04-27,-1.3793
2000-04-28,0.2331
2000-05-01,4.4186
2000-05-02,-0.4454
2000-05-03,-0.8949
2000-05-04,-0.6772
2000-05-05,0.0
2000-05-08,-3.4091
2000-05-09,0.2353
2000-05-10,1.8779
2000-05-11,1.3825
2000-05-12,0.9091
2000-05-15,0.0
2000-05-16,2.2523
2000-05-17,0.8811
2000-05-18,-0.4367
2000-05-19,-0.6579
2000-05-22,-0.2208
2000-05-23,-1.7699
