ticker,NFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9409
2000-01-04,-1.2212
2000-01-05,0.0
2000-01-06,1.3736
2000-01-07,0.1355
2000-01-10,-0.1353
2000-01-11,-0.271
2000-01-12,-0.1359
2000-01-13,0.2721
2000-01-14,-2.578
2000-01-18,0.2786
2000-01-19,-0.2778
2000-01-20,0.1393
2000-01-21,0.1391
2000-01-24,-2.2222
2000-01-25,1.4205
2000-01-26,-0.8403
2000-01-27,-1.6949
2000-01-28,0.8621
2000-01-31,1.567
2000-02-01,0.1403
2000-02-02,-1.4006
2000-02-03,2.4148
2000-02-04,-2.9126
2000-02-07,-0.5714
2000-02-08,0.1437
2000-02-09,-3.4433
2000-02-10,1.1887
2000-02-11,-1.3216
2000-02-14,1.7856999999999998
2000-02-15,1.0234
2000-02-16,-0.7236
2000-02-17,-0.4373
2000-02-18,-2.7818
2000-02-22,-2.5602
2000-02-23,0.0
2000-02-24,-1.8547
2000-02-25,0.6299
2000-02-28,-0.1565
2000-02-29,2.6646
2000-03-01,0.6107
2000-03-02,0.3035
2000-03-03,0.3026
2000-03-06,-0.1508
2000-03-07,3.6254
2000-03-08,-2.1866
2000-03-09,-1.7884
2000-03-10,-0.4552
2000-03-13,-1.8293
2000-03-14,-0.6211
2000-03-15,0.9375
2000-03-16,4.3344
2000-03-17,0.0
2000-03-20,0.1484
2000-03-21,-0.1481
2000-03-22,-1.6320000000000001
2000-03-23,-0.4525
2000-03-24,-0.6061
2000-03-27,-0.6098
2000-03-28,-2.1471999999999998
2000-03-29,7.7492
2000-03-30,0.5882
2000-03-31,4.2398
2000-04-03,-1.1219999999999999
2000-04-04,0.5674
2000-04-05,2.6798
2000-04-06,0.5495
2000-04-07,0.1366
2000-04-10,-1.3643
2000-04-11,-1.1065
2000-04-12,1.5385
2000-04-13,0.8264
2000-04-14,-0.6831
2000-04-17,0.6878
2000-04-18,-0.2732
2000-04-19,-1.6438000000000001
2000-04-20,1.1142
2000-04-24,1.7906
2000-04-25,2.4356999999999998
2000-04-26,0.0
2000-04-27,1.4531
2000-04-28,-1.1719
2000-05-01,2.108
2000-05-02,-3.2258
2000-05-03,-0.6667
2000-05-04,5.1007
2000-05-05,0.2554
2000-05-08,0.7643
2000-05-09,0.0
2000-05-10,0.885
2000-05-11,2.1303
2000-05-12,-2.5766999999999998
2000-05-15,0.6297
2000-05-16,-1.3767
2000-05-17,0.3807
2000-05-18,-0.1264
2000-05-19,-1.7722
2000-05-22,1.4175
