ticker,ITT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.3738
2000-01-04,-2.0638
2000-01-05,-0.1916
2000-01-06,0.0
2000-01-07,4.9904
2000-01-10,1.6453
2000-01-11,-3.4173
2000-01-12,0.7449
2000-01-13,1.1091
2000-01-14,-0.3656
2000-01-18,2.0183
2000-01-19,-2.6978
2000-01-20,-0.9242
2000-01-21,-2.2388
2000-01-24,-6.4885
2000-01-25,4.6939
2000-01-26,-3.3138
2000-01-27,2.4194
2000-01-28,-1.1811
2000-01-31,0.7968
2000-02-01,-0.3953
2000-02-02,-0.1984
2000-02-03,-0.1988
2000-02-04,-0.7968
2000-02-07,-1.2048
2000-02-08,0.4065
2000-02-09,-2.0243
2000-02-10,0.8264
2000-02-11,-0.2049
2000-02-14,-1.8479999999999999
2000-02-15,0.8368
2000-02-16,-4.5643
2000-02-17,-0.8696
2000-02-18,-3.9474
2000-02-22,-2.2831
2000-02-23,-5.0467
2000-02-24,0.7426
2000-02-25,-8.5995
2000-02-28,4.8387
2000-02-29,-0.5128
2000-03-01,-0.2577
2000-03-02,-1.0336
2000-03-03,3.3943
2000-03-06,0.7576
2000-03-07,-3.0075
2000-03-08,2.3256
2000-03-09,0.2525
2000-03-10,-2.0151
2000-03-13,0.7712
2000-03-14,0.7653
2000-03-15,4.557
2000-03-16,6.5375
2000-03-17,0.6818
2000-03-20,0.4515
2000-03-21,3.3708
2000-03-22,-0.4348
2000-03-23,1.9651
2000-03-24,-1.7130999999999998
2000-03-27,3.0501
2000-03-28,2.537
2000-03-29,-0.8247
2000-03-30,4.7817
2000-03-31,-1.3889
2000-04-03,2.2133
2000-04-04,-2.1654
2000-04-05,0.6036
2000-04-06,-0.8
2000-04-07,-1.4113
2000-04-10,-1.227
2000-04-11,3.3125999999999998
2000-04-12,-2.2044
2000-04-13,1.2295
2000-04-14,-5.8704
2000-04-17,2.3656
2000-04-18,1.6806999999999999
2000-04-19,4.1322
2000-04-20,-0.5952
2000-04-24,1.3972
2000-04-25,0.5906
2000-04-26,0.0
2000-04-27,0.1957
2000-04-28,-1.3672
2000-05-01,1.1881
2000-05-02,-1.5655999999999999
2000-05-03,-0.1988
2000-05-04,-2.3904
2000-05-05,-0.2041
2000-05-08,-0.818
2000-05-09,2.268
2000-05-10,0.0
2000-05-11,-0.4032
2000-05-12,0.6073
2000-05-15,-0.2012
2000-05-16,3.629
2000-05-17,0.7782
2000-05-18,1.7375
2000-05-19,-3.9848
2000-05-22,1.1858
