ticker,FRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2668
2000-01-04,-5.4409
2000-01-05,4.1667
2000-01-06,-0.5832
2000-01-07,1.1614
2000-01-10,12.1212
2000-01-11,1.8580999999999999
2000-01-12,-0.995
2000-01-13,-0.1675
2000-01-14,-4.698
2000-01-18,1.5845
2000-01-19,6.2392
2000-01-20,-2.2838
2000-01-21,-3.8397
2000-01-24,-1.0417
2000-01-25,0.5263
2000-01-26,1.2216
2000-01-27,-2.7586
2000-01-28,-0.7092
2000-01-31,-4.2857
2000-02-01,3.7313
2000-02-02,4.6763
2000-02-03,-1.0309
2000-02-04,2.7778
2000-02-07,-2.5338000000000003
2000-02-08,-2.253
2000-02-09,-2.4823
2000-02-10,-0.7273
2000-02-11,-0.3663
2000-02-14,3.3088
2000-02-15,4.6263
2000-02-16,-0.8503
2000-02-17,-3.7736
2000-02-18,-5.5258
2000-02-22,0.0
2000-02-23,-0.566
2000-02-24,-0.759
2000-02-25,-2.6769
2000-02-28,2.7504999999999997
2000-02-29,1.912
2000-03-01,0.1876
2000-03-02,1.8727
2000-03-03,-2.9412000000000003
2000-03-06,-1.3258
2000-03-07,-1.5354999999999999
2000-03-08,3.7037
2000-03-09,0.8647
2000-03-10,0.9346
2000-03-13,-1.8519
2000-03-14,-3.0189
2000-03-15,0.9728
2000-03-16,9.4412
2000-03-17,2.6408
2000-03-20,-2.5728999999999997
2000-03-21,-0.8803
2000-03-22,-0.7105
2000-03-23,-0.5367
2000-03-24,-0.3597
2000-03-27,-0.722
2000-03-28,-0.9091
2000-03-29,-0.1835
2000-03-30,-7.9044
2000-03-31,-10.5788
2000-04-03,4.4643
2000-04-04,-1.9231
2000-04-05,7.1895
2000-04-06,-1.4228
2000-04-07,0.0
2000-04-10,-0.2062
2000-04-11,2.4793
2000-04-12,-3.0242
2000-04-13,-1.4553
2000-04-14,0.8439
2000-04-17,-1.2551999999999999
2000-04-18,1.0593
2000-04-19,-1.4675
2000-04-20,1.0638
2000-04-24,-1.4737
2000-04-25,2.1368
2000-04-26,-0.8368
2000-04-27,8.8608
2000-04-28,0.3876
2000-05-01,2.7027
2000-05-02,-0.3759
2000-05-03,-4.1509
2000-05-04,-0.1969
2000-05-05,3.1558
2000-05-08,1.3384
2000-05-09,0.0
2000-05-10,-0.7547
2000-05-11,5.1331
2000-05-12,-1.6275
2000-05-15,2.2059
2000-05-16,4.1367
2000-05-17,0.6908
2000-05-18,1.3721999999999999
2000-05-19,0.846
