ticker,POG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6231999999999998
2000-01-04,-3.0075
2000-01-05,0.7752
2000-01-06,0.0
2000-01-07,1.5385
2000-01-10,0.7576
2000-01-11,1.5038
2000-01-12,-0.7407
2000-01-13,2.9851
2000-01-14,2.1739
2000-01-18,1.4184
2000-01-19,6.2937
2000-01-20,1.3158
2000-01-21,-2.5974
2000-01-24,-0.6667
2000-01-25,0.0
2000-01-26,-3.3557
2000-01-27,1.3889
2000-01-28,-2.0548
2000-01-31,4.8951
2000-02-01,6.0
2000-02-02,-1.2579
2000-02-03,-0.6369
2000-02-04,-0.641
2000-02-07,-0.6452
2000-02-08,-0.6494
2000-02-09,-5.8824
2000-02-10,1.3889
2000-02-11,-1.3699
2000-02-14,1.3889
2000-02-15,1.3699
2000-02-16,-2.027
2000-02-17,2.069
2000-02-18,-0.6757
2000-02-22,2.7211
2000-02-23,-3.3113
2000-02-24,-0.6849
2000-02-25,0.0
2000-02-28,-0.6897
2000-02-29,0.0
2000-03-01,4.8611
2000-03-02,1.3245
2000-03-03,-0.6536
2000-03-06,0.6579
2000-03-07,7.8431
2000-03-08,-4.8485
2000-03-09,0.6369
2000-03-10,1.8987
2000-03-13,8.2733
2000-03-14,-2.8736
2000-03-15,-2.9586
2000-03-16,0.0
2000-03-17,4.878
2000-03-20,3.4884
2000-03-21,3.9326
2000-03-22,-1.6216
2000-03-23,-3.8462
2000-03-24,5.7143
2000-03-27,-2.7027
2000-03-28,3.8889
2000-03-29,2.6738
2000-03-30,3.125
2000-03-31,9.596
2000-04-03,4.1475
2000-04-04,-11.5044
2000-04-05,-2.0
2000-04-06,-2.0408
2000-04-07,1.5625
2000-04-10,-1.5385
2000-04-11,6.7708
2000-04-12,1.4634
2000-04-13,-2.4038
2000-04-14,-10.3448
2000-04-17,-1.0989
2000-04-18,5.5556
2000-04-19,1.0526
2000-04-20,10.4167
2000-04-24,5.6604
2000-04-25,0.8929
2000-04-26,0.885
2000-04-27,-3.0702
2000-04-28,0.4525
2000-05-01,7.2072
2000-05-02,-0.4202
2000-05-03,-5.4852
2000-05-04,1.3393
2000-05-05,2.6432
2000-05-08,2.1459
2000-05-09,0.8403
2000-05-10,-1.25
2000-05-11,7.5949
2000-05-12,3.1373
2000-05-15,-1.1407
2000-05-16,0.7692
2000-05-17,-0.7634
2000-05-18,5.0
2000-05-19,-3.2967
2000-05-22,0.7576
2000-05-23,-1.5038
2000-05-24,2.2901
2000-05-25,4.1045
