ticker,TEE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.2152
2000-01-04,-4.3344
2000-01-05,1.6181
2000-01-06,4.7771
2000-01-07,0.304
2000-01-10,4.5455
2000-01-11,0.2899
2000-01-12,-2.0231
2000-01-13,2.0649
2000-01-14,-0.8671
2000-01-18,1.1662
2000-01-19,-0.2882
2000-01-20,1.4451
2000-01-21,1.4245
2000-01-24,-1.4045
2000-01-25,-0.2849
2000-01-26,-1.4285999999999999
2000-01-27,1.2174
2000-01-28,3.5088
2000-01-31,0.565
2000-02-01,0.0
2000-02-02,-0.5618
2000-02-03,3.3898
2000-02-04,1.3660999999999999
2000-02-07,0.0
2000-02-08,-3.504
2000-02-09,0.0
2000-02-10,-2.2346
2000-02-11,2.8571
2000-02-14,0.2778
2000-02-15,1.108
2000-02-16,0.5479
2000-02-17,-2.4523
2000-02-18,1.9553
2000-02-22,-6.3014
2000-02-23,0.0
2000-02-24,-2.6316
2000-02-25,3.6036
2000-02-28,0.5797
2000-02-29,-0.5764
2000-03-01,0.0
2000-03-02,0.8696
2000-03-03,-0.8621
2000-03-06,-0.2899
2000-03-07,-2.3256
2000-03-08,-1.1905000000000001
2000-03-09,3.3133
2000-03-10,-0.5831
2000-03-13,-3.5191
2000-03-14,0.6079
2000-03-15,1.5106000000000002
2000-03-16,0.5952
2000-03-17,1.1834
2000-03-20,0.2924
2000-03-21,0.2915
2000-03-22,-1.1628
2000-03-23,-1.7647
2000-03-24,2.0958
2000-03-27,-4.1056
2000-03-28,3.6696999999999997
2000-03-29,-0.59
2000-03-30,-0.2967
2000-03-31,0.2976
2000-04-03,-1.4837
2000-04-04,-1.2048
2000-04-05,2.7439
2000-04-06,0.0
2000-04-07,0.5935
2000-04-10,-0.885
2000-04-11,-2.6786
2000-04-12,-0.3058
2000-04-13,-0.6135
2000-04-14,-2.4691
2000-04-17,-1.2658
2000-04-18,0.9615
2000-04-19,-3.1746
2000-04-20,-0.9836
2000-04-24,2.9801
2000-04-25,1.2862
2000-04-26,-1.2063
2000-04-27,0.3289
2000-04-28,0.3279
2000-05-01,1.634
2000-05-02,1.6077
2000-05-03,1.2658
2000-05-04,0.0
2000-05-05,1.875
2000-05-08,-7.0552
2000-05-09,1.6502
2000-05-10,-0.3247
2000-05-11,2.2801
2000-05-12,0.3185
2000-05-15,0.3175
2000-05-16,3.1646
2000-05-17,-1.227
2000-05-18,-2.795
2000-05-19,4.1534
2000-05-22,-0.6135
2000-05-23,3.3951000000000002
