ticker,EOG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-11.7438
2000-01-04,0.0
2000-01-05,-2.8226
2000-01-06,8.2988
2000-01-07,-1.1494
2000-01-10,0.7752
2000-01-11,0.7692
2000-01-12,0.1832
2000-01-13,1.9083999999999999
2000-01-14,1.8727
2000-01-18,0.3676
2000-01-19,0.3663
2000-01-20,-2.1898
2000-01-21,-2.9851
2000-01-24,-2.3077
2000-01-25,-1.5748
2000-01-26,1.2
2000-01-27,-2.3715
2000-01-28,-1.2146
2000-01-31,4.0984
2000-02-01,0.7874
2000-02-02,3.125
2000-02-03,-2.2727
2000-02-04,-2.7132
2000-02-07,-0.7968
2000-02-08,-0.4016
2000-02-09,-2.8226
2000-02-10,5.3942
2000-02-11,-1.5748
2000-02-14,0.8
2000-02-15,3.1746
2000-02-16,-1.9231
2000-02-17,1.5686
2000-02-18,-3.0888
2000-02-22,-1.1952
2000-02-23,-4.8387
2000-02-24,-5.0847
2000-02-25,-0.8929
2000-02-28,2.2523
2000-02-29,7.489
2000-03-01,2.459
2000-03-02,13.6
2000-03-03,-2.4648
2000-03-06,0.361
2000-03-07,7.554
2000-03-08,1.0033
2000-03-09,-0.6623
2000-03-10,-1.0
2000-03-13,-1.6835
2000-03-14,1.3699
2000-03-15,-1.0135
2000-03-16,2.3891
2000-03-17,-1.3333
2000-03-20,-0.6757
2000-03-21,1.7006999999999999
2000-03-22,1.3378
2000-03-23,0.33
2000-03-24,-2.9605
2000-03-27,0.0
2000-03-28,4.7458
2000-03-29,9.2437
2000-03-30,9.0167
2000-03-31,-7.8804
2000-04-03,9.7345
2000-04-04,-2.4194
2000-04-05,-1.6529
2000-04-06,4.2017
2000-04-07,1.6129
2000-04-10,-4.7619
2000-04-11,4.1667
2000-04-12,3.8613
2000-04-13,0.7712
2000-04-14,-5.102
2000-04-17,-1.3441
2000-04-18,3.5422000000000002
2000-04-19,-2.3684
2000-04-20,2.6954000000000002
2000-04-24,-2.3622
2000-04-25,1.6129
2000-04-26,0.0
2000-04-27,1.5873
2000-04-28,3.6458
2000-05-01,4.0201
2000-05-02,3.8647
2000-05-03,-2.3256
2000-05-04,5.4762
2000-05-05,2.7088
2000-05-08,1.978
2000-05-09,-1.5086
2000-05-10,0.6565
2000-05-11,2.3913
2000-05-12,0.8493
2000-05-15,-0.6316
2000-05-16,-5.0847
2000-05-17,6.6964
2000-05-18,2.0659
2000-05-19,1.8704
2000-05-22,0.4024
2000-05-23,-0.2004
