ticker,CEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.0796
2000-01-04,-0.9524
2000-01-05,0.9615
2000-01-06,-1.9048
2000-01-07,0.9709
2000-01-10,0.0
2000-01-11,-1.6827
2000-01-12,-2.2005
2000-01-13,9.0
2000-01-14,3.8991
2000-01-18,-1.1038000000000001
2000-01-19,-1.3393
2000-01-20,-0.4525
2000-01-21,-0.4545
2000-01-24,-5.0228
2000-01-25,0.0
2000-01-26,-1.9231
2000-01-27,0.7353
2000-01-28,-0.2433
2000-01-31,-1.7073
2000-02-01,-2.7295
2000-02-02,2.0408
2000-02-03,4.25
2000-02-04,-4.3165
2000-02-07,0.2506
2000-02-08,8.25
2000-02-09,-7.6212
2000-02-10,-1.0
2000-02-11,-3.7879
2000-02-14,-5.7743
2000-02-15,2.2284
2000-02-16,2.9973
2000-02-17,-1.3228
2000-02-18,-7.7748
2000-02-22,0.0
2000-02-23,-0.5814
2000-02-24,-7.3099
2000-02-25,-0.3155
2000-02-28,0.9494
2000-02-29,14.1066
2000-03-01,6.8681
2000-03-02,-6.1697
2000-03-03,5.2055
2000-03-06,2.0833
2000-03-07,-5.102
2000-03-08,0.0
2000-03-09,4.3011
2000-03-10,2.0619
2000-03-13,-7.3232
2000-03-14,-2.1798
2000-03-15,16.9916
2000-03-16,2.8571
2000-03-17,-0.2315
2000-03-20,-2.5522
2000-03-21,-1.1905000000000001
2000-03-22,-1.2048
2000-03-23,1.7073
2000-03-24,3.8369
2000-03-27,0.2309
2000-03-28,-0.6912
2000-03-29,3.0162
2000-03-30,-2.7027
2000-03-31,0.463
2000-04-03,-0.9217
2000-04-04,-2.7907
2000-04-05,4.3062000000000005
2000-04-06,2.7523
2000-04-07,-3.5714
2000-04-10,-0.463
2000-04-11,0.2326
2000-04-12,0.9281
2000-04-13,-1.8391
2000-04-14,-5.6206
2000-04-17,-3.9702
2000-04-18,0.2584
2000-04-19,-2.0619
2000-04-20,-0.2632
2000-04-24,7.124
2000-04-25,9.8522
2000-04-26,0.8969
2000-04-27,1.5556
2000-04-28,5.0328
2000-05-01,-3.3333
2000-05-02,-2.1552
2000-05-03,-3.0837
2000-05-04,2.2727
2000-05-05,1.3333
2000-05-08,-2.6316
2000-05-09,0.9009
2000-05-10,1.1161
2000-05-11,3.3113
2000-05-12,1.4957
2000-05-15,3.1579
2000-05-16,-0.4082
2000-05-17,1.0246
2000-05-18,-1.6227
2000-05-19,-4.1237
2000-05-22,0.6452
2000-05-23,-1.4957
