ticker,CAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.556799999999999
2000-01-04,0.419
2000-01-05,-2.7816
2000-01-06,6.7239
2000-01-07,1.2064
2000-01-10,1.457
2000-01-11,3.3943
2000-01-12,-2.6515
2000-01-13,-1.297
2000-01-14,0.0
2000-01-18,7.6216
2000-01-19,0.4884
2000-01-20,-4.3742
2000-01-21,2.6684
2000-01-24,-5.9406
2000-01-25,3.8158
2000-01-26,-1.9011
2000-01-27,-4.9096
2000-01-28,3.3967
2000-01-31,4.0736
2000-02-01,6.1869
2000-02-02,-1.5457999999999998
2000-02-03,-1.8115999999999999
2000-02-04,-2.46
2000-02-07,-1.0088
2000-02-08,-4.2038
2000-02-09,-1.8617
2000-02-10,3.252
2000-02-11,-0.5249
2000-02-14,6.0686
2000-02-15,3.1095
2000-02-16,-1.6888
2000-02-17,4.0491
2000-02-18,-5.8962
2000-02-22,-1.6291
2000-02-23,-2.0382
2000-02-24,6.3719
2000-02-25,1.7115
2000-02-28,1.9231
2000-02-29,4.2453
2000-03-01,4.9774
2000-03-02,1.5086
2000-03-03,2.6539
2000-03-06,4.2399000000000004
2000-03-07,9.9206
2000-03-08,-4.9639
2000-03-09,0.5698
2000-03-10,-4.4381
2000-03-13,-0.3953
2000-03-14,-0.1984
2000-03-15,-6.163
2000-03-16,2.4364
2000-03-17,-2.2751
2000-03-20,-1.5873
2000-03-21,7.5269
2000-03-22,5.9
2000-03-23,-2.1719
2000-03-24,4.0541
2000-03-27,0.9276
2000-03-28,-2.114
2000-03-29,3.662
2000-03-30,1.5399
2000-03-31,-4.5495
2000-04-03,2.4299
2000-04-04,-2.9196999999999997
2000-04-05,-1.2218
2000-04-06,-2.569
2000-04-07,1.5625
2000-04-10,-6.8269
2000-04-11,8.5655
2000-04-12,3.327
2000-04-13,-1.3799000000000001
2000-04-14,-1.306
2000-04-17,-4.1588
2000-04-18,7.1992
2000-04-19,0.0
2000-04-20,2.2999
2000-04-24,1.6187
2000-04-25,-2.8319
2000-04-26,-1.0018
2000-04-27,8.9236
2000-04-28,1.3514
2000-05-01,0.5
2000-05-02,3.4826
2000-05-03,-5.609
2000-05-04,2.8862
2000-05-05,0.7426
2000-05-08,-0.6552
2000-05-09,-0.1649
2000-05-10,-0.4955
2000-05-11,3.5685000000000002
2000-05-12,1.6026
2000-05-15,4.1009
2000-05-16,-3.0303
2000-05-17,2.2656
2000-05-18,-10.0076
2000-05-19,-1.7827
2000-05-22,-2.6793
