ticker,JOF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.5873
2000-01-04,-4.1667
2000-01-05,-0.5435
2000-01-06,-4.918
2000-01-07,3.4483
2000-01-10,1.1111
2000-01-11,-1.6484
2000-01-12,-2.7933
2000-01-13,1.1494
2000-01-14,1.7045
2000-01-18,0.0
2000-01-19,-3.352
2000-01-20,-2.8902
2000-01-21,-1.7856999999999998
2000-01-24,-1.2121
2000-01-25,1.227
2000-01-26,0.6061
2000-01-27,1.2048
2000-01-28,0.5952
2000-01-31,1.7751000000000001
2000-02-01,1.1628
2000-02-02,-0.5747
2000-02-03,1.1561
2000-02-04,0.0
2000-02-07,1.7143000000000002
2000-02-08,-1.1236
2000-02-09,-2.8409
2000-02-10,-0.5848
2000-02-11,0.0
2000-02-14,0.5882
2000-02-15,0.5848
2000-02-16,0.5814
2000-02-17,-1.1561
2000-02-18,-0.5848
2000-02-22,0.0
2000-02-23,0.5882
2000-02-24,-1.7544
2000-02-25,0.5952
2000-02-28,1.7751000000000001
2000-02-29,2.3256
2000-03-01,2.2727
2000-03-02,-1.1111
2000-03-03,-0.5618
2000-03-06,-5.0847
2000-03-07,-2.3810000000000002
2000-03-08,3.0488
2000-03-09,-0.5917
2000-03-10,0.5952
2000-03-13,-5.3254
2000-03-14,-3.125
2000-03-15,1.9355
2000-03-16,5.0633
2000-03-17,1.2048
2000-03-20,1.7856999999999998
2000-03-21,0.5848
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,-1.7442
2000-03-27,-1.1834
2000-03-28,1.1976
2000-03-29,4.7337
2000-03-30,-3.9548
2000-03-31,1.7647
2000-04-03,-0.578
2000-04-04,-4.6512
2000-04-05,-0.6098
2000-04-06,1.8405
2000-04-07,2.4096
2000-04-10,1.1764999999999999
2000-04-11,-3.4884
2000-04-12,-0.6024
2000-04-13,-1.2121
2000-04-14,-11.0429
2000-04-17,4.1379
2000-04-18,-0.6623
2000-04-19,-2.6667
2000-04-20,2.0548
2000-04-24,-0.6711
2000-04-25,4.7297
2000-04-26,2.5806
2000-04-27,-0.6289
2000-04-28,0.0
2000-05-01,2.5316
2000-05-02,-0.6173
2000-05-03,-1.2422
2000-05-04,0.6289
2000-05-05,0.625
2000-05-08,0.0
2000-05-09,-1.8634
2000-05-10,-3.1646
2000-05-11,-0.6536
2000-05-12,1.3158
2000-05-15,-2.5974
2000-05-16,0.6667
2000-05-17,-3.3113
2000-05-18,0.6849
2000-05-19,-2.0408
2000-05-22,-6.25
