ticker,NRVHQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2468
2000-01-04,-5.0336
2000-01-05,-1.7668
2000-01-06,-1.4388
2000-01-07,-0.365
2000-01-10,5.4945
2000-01-11,-3.4722
2000-01-12,-3.2374
2000-01-13,-4.0892
2000-01-14,0.0
2000-01-18,-2.7132
2000-01-19,1.1952
2000-01-20,-2.3622
2000-01-21,0.0
2000-01-24,-9.6774
2000-01-25,17.4107
2000-01-26,-0.3802
2000-01-27,2.2901
2000-01-28,-1.1194
2000-01-31,-1.1320999999999999
2000-02-01,2.2901
2000-02-02,2.6119
2000-02-03,-0.7273
2000-02-04,0.7326
2000-02-07,0.7273
2000-02-08,0.722
2000-02-09,-1.4337
2000-02-10,-6.9091000000000005
2000-02-11,-0.3906
2000-02-14,-0.3922
2000-02-15,-1.9685000000000001
2000-02-16,-3.6145
2000-02-17,0.4167
2000-02-18,-1.6598000000000002
2000-02-22,-2.1097
2000-02-23,-2.1552
2000-02-24,-3.5242
2000-02-25,-2.2831
2000-02-28,-5.1402
2000-02-29,2.4631
2000-03-01,5.7692
2000-03-02,4.5455
2000-03-03,2.1739
2000-03-06,15.7447
2000-03-07,-1.4706000000000001
2000-03-08,0.0
2000-03-09,-4.4776
2000-03-10,0.7813
2000-03-13,-1.5504
2000-03-14,0.0
2000-03-15,1.1811
2000-03-16,2.7237
2000-03-17,-1.5152
2000-03-20,-0.7692
2000-03-21,1.938
2000-03-22,-0.3802
2000-03-23,0.0
2000-03-24,-1.145
2000-03-27,1.1583
2000-03-28,0.3817
2000-03-29,-0.7605
2000-03-30,-3.8314
2000-03-31,0.7968
2000-04-03,0.3953
2000-04-04,1.1811
2000-04-05,1.1673
2000-04-06,-1.1538
2000-04-07,-1.9455
2000-04-10,-3.9683
2000-04-11,-0.4132
2000-04-12,-3.7344
2000-04-13,0.8621
2000-04-14,-1.2821
2000-04-17,1.2987
2000-04-18,2.5641
2000-04-19,1.6667
2000-04-20,-0.4098
2000-04-24,-2.0576
2000-04-25,-0.4202
2000-04-26,0.4219
2000-04-27,-14.7059
2000-04-28,-3.4483
2000-05-01,-3.0612
2000-05-02,4.2105
2000-05-03,-2.5253
2000-05-04,0.5181
2000-05-05,4.6392
2000-05-08,-1.4778
2000-05-09,-1.0
2000-05-10,0.0
2000-05-11,-2.0202
2000-05-12,0.0
2000-05-15,1.0309
2000-05-16,0.5102
2000-05-17,0.0
2000-05-18,0.5076
2000-05-19,-0.5051
2000-05-22,-2.0305
