ticker,HC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3113
2000-01-04,-5.3082
2000-01-05,-1.6275
2000-01-06,5.5147
2000-01-07,3.1359
2000-01-10,-0.1689
2000-01-11,-2.1997
2000-01-12,3.2872
2000-01-13,3.3501
2000-01-14,0.8104
2000-01-18,0.3215
2000-01-19,2.5641
2000-01-20,0.7813
2000-01-21,1.3953
2000-01-24,-0.6116
2000-01-25,-0.9231
2000-01-26,0.4658
2000-01-27,-1.5455999999999999
2000-01-28,-0.7849
2000-01-31,0.3165
2000-02-01,-0.3155
2000-02-02,-0.3165
2000-02-03,3.8095
2000-02-04,-0.4587
2000-02-07,-0.1536
2000-02-08,1.8462
2000-02-09,2.568
2000-02-10,3.2401
2000-02-11,1.1412
2000-02-14,0.5642
2000-02-15,1.683
2000-02-16,2.6207000000000003
2000-02-17,0.5376
2000-02-18,-1.6042999999999998
2000-02-22,-5.163
2000-02-23,1.1461000000000001
2000-02-24,0.8499
2000-02-25,1.1236
2000-02-28,-0.8333
2000-02-29,5.1821
2000-03-01,0.1332
2000-03-02,0.5319
2000-03-03,1.1905000000000001
2000-03-06,0.0
2000-03-07,2.8758
2000-03-08,2.033
2000-03-09,3.7359999999999998
2000-03-10,0.8403
2000-03-13,-2.3810000000000002
2000-03-14,-1.5854
2000-03-15,-1.2392
2000-03-16,4.8934
2000-03-17,-1.4354
2000-03-20,-0.1214
2000-03-21,-1.0936
2000-03-22,4.1769
2000-03-23,0.9434
2000-03-24,-0.5841
2000-03-27,2.1152
2000-03-28,-3.2221
2000-03-29,1.0702
2000-03-30,3.1765
2000-03-31,3.7628
2000-04-03,-3.5164999999999997
2000-04-04,-4.6697
2000-04-05,-3.2258
2000-04-06,2.0987999999999998
2000-04-07,1.2092
2000-04-10,-6.0932
2000-04-11,-1.0178
2000-04-12,6.6838
2000-04-13,1.2048
2000-04-14,-2.1429
2000-04-17,-9.7324
2000-04-18,6.6038
2000-04-19,3.287
2000-04-20,4.5288
2000-04-24,1.9906000000000001
2000-04-25,3.9036
2000-04-26,1.9889999999999999
2000-04-27,0.9751
2000-04-28,0.0
2000-05-01,2.0386
2000-05-02,-0.4206
2000-05-03,-0.8448
2000-05-04,0.639
2000-05-05,3.4920999999999998
2000-05-08,-1.8405
2000-05-09,-0.1042
2000-05-10,3.5454
2000-05-11,2.6183
2000-05-12,-0.5888
2000-05-15,3.2577
2000-05-16,-0.956
2000-05-17,-1.5444
2000-05-18,-1.8627
