ticker,MIDZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-01-12,10.77
2009-01-13,-0.4693
2009-01-14,10.3728
2009-01-15,-3.1771
2009-01-16,-4.867
2009-01-20,15.3623
2009-01-21,-11.5452
2009-01-22,6.9592
2009-01-23,-3.2399
2009-01-26,-1.7290999999999999
2009-01-27,-3.1839
2009-01-28,-11.076
2009-01-29,11.0444
2009-01-30,7.435
2009-02-02,0.9789
2009-02-03,-4.3894
2009-02-04,0.4084
2009-02-05,-4.8668
2009-02-06,-9.5828
2009-02-09,-0.5218
2009-02-10,13.8994
2009-02-11,-0.1871
2009-02-12,-2.8834999999999997
2009-02-13,2.5089
2009-02-17,14.5112
2009-02-18,2.3018
2009-02-19,4.4629
2009-02-20,2.5738
2009-02-23,11.2087
2009-02-24,-13.9226
2009-02-25,3.3145
2009-02-26,5.6346
2009-02-27,3.8211
2009-03-02,17.1046
2009-03-03,2.6615
2009-03-04,-9.3346
2009-03-05,14.0431
2009-03-06,0.9755
2009-03-09,3.0508
2009-03-10,-20.3947
2009-03-11,-1.7872
2009-03-12,-12.4855
2009-03-13,-2.7163
2009-03-16,2.174
2009-03-17,-9.9391
2009-03-18,-8.3915
2009-03-19,1.9053
2009-03-20,7.7377
2009-03-23,-21.5361
2009-03-24,5.602
2009-03-25,-2.3361
2009-03-26,-10.5741
2009-03-27,7.2127
2009-03-30,10.8741
2009-03-31,-2.8554
2009-04-01,-5.4313
2009-04-02,-11.6723
2009-04-03,-5.7755
2009-04-06,3.1457
2009-04-07,9.1896
2009-04-08,-5.6407
2009-04-09,-14.343
2009-04-13,-0.223
2009-04-14,6.7709
2009-04-15,-3.8301
2009-04-16,-7.9216999999999995
2009-04-17,-3.4744
2009-04-20,13.9079
2009-04-21,-7.5451
2009-04-22,-0.7673
2009-04-23,-1.9681
2009-04-24,-6.3576
2009-04-27,4.002
2009-04-28,0.7411
2009-04-29,-7.6492
2009-04-30,-1.3453
2009-05-01,-0.8556
2009-05-04,-11.5965
2009-05-05,0.183
2009-05-06,-2.9233000000000002
2009-05-07,7.6223
2009-05-08,-9.1223
2009-05-11,6.5422
2009-05-12,2.7092
2009-05-13,12.837
2009-05-14,-4.4156
2009-05-15,2.0652
2009-05-18,-10.729800000000001
2009-05-19,-1.7294
2009-05-20,2.4279
2009-05-21,5.2148
2009-05-22,0.6195
2009-05-26,-9.8797
2009-05-27,4.5652
2009-05-28,-3.4452
2009-05-29,-5.4445
2009-06-01,-10.0195
2009-06-02,-0.9038
