ticker,EL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7348
2000-01-04,-1.7654
2000-01-05,-3.3697
2000-01-06,2.9558
2000-01-07,3.4839
2000-01-10,3.2419000000000002
2000-01-11,-2.5362
2000-01-12,-0.4957
2000-01-13,0.3736
2000-01-14,4.5906
2000-01-18,0.949
2000-01-19,0.9401
2000-01-20,0.0
2000-01-21,-0.3492
2000-01-24,0.9346
2000-01-25,0.2315
2000-01-26,2.0785
2000-01-27,-3.733
2000-01-28,-2.3502
2000-01-31,-1.5644
2000-02-01,1.2225
2000-02-02,-0.6039
2000-02-03,0.729
2000-02-04,-1.9300000000000002
2000-02-07,-0.861
2000-02-08,-0.7444
2000-02-09,0.875
2000-02-10,-1.1152
2000-02-11,-0.2506
2000-02-14,-0.7538
2000-02-15,1.1392
2000-02-16,0.0
2000-02-17,2.1277
2000-02-18,0.2451
2000-02-22,0.978
2000-02-23,-1.2107
2000-02-24,-5.1471
2000-02-25,-4.0052
2000-02-28,-1.0767
2000-02-29,-5.5782
2000-03-01,3.7464
2000-03-02,-0.9722
2000-03-03,2.6648
2000-03-06,-1.5027
2000-03-07,-8.4605
2000-03-08,2.1212
2000-03-09,2.0772
2000-03-10,-6.9767
2000-03-13,0.625
2000-03-14,0.9006
2000-03-15,10.9399
2000-03-16,4.8611
2000-03-17,-4.7682
2000-03-20,-0.6954
2000-03-21,4.2017
2000-03-22,4.3011
2000-03-23,3.866
2000-03-24,-3.7221
2000-03-27,-5.6701
2000-03-28,6.0109
2000-03-29,1.0309
2000-03-30,3.0612
2000-03-31,-0.8663
2000-04-03,1.2484
2000-04-04,0.0
2000-04-05,4.0691
2000-04-06,-0.237
2000-04-07,1.3064
2000-04-10,0.7034
2000-04-11,-4.3073
2000-04-12,-0.1217
2000-04-13,1.218
2000-04-14,-9.5066
2000-04-17,2.9255
2000-04-18,-2.8424
2000-04-19,-1.3298
2000-04-20,0.5391
2000-04-24,-2.1448
2000-04-25,-4.2466
2000-04-26,-3.4335
2000-04-27,0.5926
2000-04-28,4.1237
2000-05-01,-1.5558999999999998
2000-05-02,2.0115
2000-05-03,-2.2535
2000-05-04,-0.7205
2000-05-05,0.0
2000-05-08,-0.5806
2000-05-09,0.5839
2000-05-10,3.3382
2000-05-11,3.3708
2000-05-12,-0.1359
2000-05-15,0.1361
2000-05-16,3.3967
2000-05-17,1.4455
2000-05-18,2.7202
2000-05-19,-7.8184000000000005
2000-05-22,-1.2312
2000-05-23,-5.5402000000000005
