ticker,GTM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.3026
2000-01-04,-4.1801
2000-01-05,0.6711
2000-01-06,2.6667
2000-01-07,7.7922
2000-01-10,-4.8193
2000-01-11,-3.1646
2000-01-12,3.268
2000-01-13,-1.5823
2000-01-14,2.8939
2000-01-18,1.25
2000-01-19,3.0864
2000-01-20,-1.1976
2000-01-21,0.6061
2000-01-24,-0.3012
2000-01-25,-0.9063
2000-01-26,3.6585
2000-01-27,-1.0588
2000-01-28,-1.8293
2000-01-31,-0.6211
2000-02-01,0.3125
2000-02-02,0.3115
2000-02-03,-0.6211
2000-02-04,-1.875
2000-02-07,0.0
2000-02-08,0.6369
2000-02-09,2.5316
2000-02-10,-1.5432000000000001
2000-02-11,0.0
2000-02-14,-0.3135
2000-02-15,-0.3145
2000-02-16,0.6309
2000-02-17,1.8809
2000-02-18,-2.1538
2000-02-22,1.2579
2000-02-23,-0.9317
2000-02-24,-2.1944
2000-02-25,-2.5641
2000-02-28,0.6579
2000-02-29,-1.9607999999999999
2000-03-01,-0.6667
2000-03-02,4.3624
2000-03-03,0.9646
2000-03-06,-0.9554
2000-03-07,-4.8232
2000-03-08,2.3649
2000-03-09,-2.3102
2000-03-10,0.0
2000-03-13,1.3514
2000-03-14,2.3333
2000-03-15,1.6287
2000-03-16,1.2821
2000-03-17,0.6329
2000-03-20,-1.8868
2000-03-21,-1.6026
2000-03-22,-1.6287
2000-03-23,0.6623
2000-03-24,-0.3289
2000-03-27,-1.9802
2000-03-28,2.3569
2000-03-29,0.6579
2000-03-30,-1.9607999999999999
2000-03-31,3.3333
2000-04-03,6.4516
2000-04-04,5.4545
2000-04-05,1.7241
2000-04-06,1.6949
2000-04-07,-0.2778
2000-04-10,1.9499
2000-04-11,-0.5464
2000-04-12,-3.2967
2000-04-13,-1.7045
2000-04-14,-5.4913
2000-04-17,-1.5291000000000001
2000-04-18,3.1056
2000-04-19,6.0241
2000-04-20,3.4091
2000-04-24,1.0989
2000-04-25,0.5435
2000-04-26,0.7027
2000-04-27,0.5495
2000-04-28,1.6393
2000-05-01,0.5376
2000-05-02,0.0
2000-05-03,-5.3476
2000-05-04,-1.9774
2000-05-05,2.0173
2000-05-08,0.565
2000-05-09,3.9326
2000-05-10,0.5405
2000-05-11,1.0753
2000-05-12,0.5319
2000-05-15,2.1164
2000-05-16,-0.5181
2000-05-17,-0.5208
2000-05-18,2.0942
2000-05-19,1.0256
2000-05-22,-2.5381
2000-05-23,0.0
