ticker,FFEDQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0
2000-01-04,-1.8519
2000-01-05,-0.4717
2000-01-06,4.2654
2000-01-07,0.9091
2000-01-10,0.4505
2000-01-11,3.5874
2000-01-12,3.0303
2000-01-13,2.9412000000000003
2000-01-14,8.5714
2000-01-18,-4.8872
2000-01-19,-3.9526
2000-01-20,-6.5844000000000005
2000-01-21,-4.4053
2000-01-24,-2.3041
2000-01-25,-0.9434
2000-01-26,-0.4762
2000-01-27,-1.4354
2000-01-28,1.9417
2000-01-31,-0.4762
2000-02-01,-3.3493
2000-02-02,0.0
2000-02-03,1.4851
2000-02-04,-2.439
2000-02-07,-3.0
2000-02-08,4.1237
2000-02-09,-2.9703
2000-02-10,0.5102
2000-02-11,-1.0152
2000-02-14,1.5385
2000-02-15,-1.0101
2000-02-16,2.0408
2000-02-17,0.5
2000-02-18,-2.9851
2000-02-22,-0.5128
2000-02-23,-1.0309
2000-02-24,1.0417
2000-02-25,-0.5155
2000-02-28,3.6269
2000-02-29,2.0
2000-03-01,1.9607999999999999
2000-03-02,2.4038
2000-03-03,-2.3474
2000-03-06,-4.3269
2000-03-07,-3.0151
2000-03-08,-0.5181
2000-03-09,2.0833
2000-03-10,-1.5306
2000-03-13,-1.5544
2000-03-14,1.5789
2000-03-15,3.1088
2000-03-16,-0.5025
2000-03-17,5.0505
2000-03-20,0.4808
2000-03-21,2.8708
2000-03-22,-3.2558
2000-03-23,1.4423
2000-03-24,3.7915
2000-03-27,0.9132
2000-03-28,-3.1673999999999998
2000-03-29,-1.4019
2000-03-30,-1.4218
2000-03-31,1.9231
2000-04-03,1.8868
2000-04-04,-3.7037
2000-04-05,-0.9615
2000-04-06,0.4854
2000-04-07,-0.9662
2000-04-10,-3.4146
2000-04-11,-3.0303
2000-04-12,2.0833
2000-04-13,-2.551
2000-04-14,0.5236
2000-04-17,-2.6042
2000-04-18,2.6738
2000-04-19,4.1667
2000-04-20,0.0
2000-04-24,-0.5
2000-04-25,-2.5126
2000-04-26,0.0
2000-04-27,-0.5155
2000-04-28,3.6269
2000-05-01,-0.5
2000-05-02,1.5074999999999998
2000-05-03,-1.4851
2000-05-04,-1.005
2000-05-05,2.5381
2000-05-08,-0.495
2000-05-09,-1.4925
2000-05-10,-1.0101
2000-05-11,-2.0408
2000-05-12,6.25
2000-05-15,-1.9607999999999999
2000-05-16,1.5
2000-05-17,2.4631
2000-05-18,-1.9231
2000-05-19,-0.9804
