ticker,TRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.626
2000-01-04,-0.8
2000-01-05,0.0
2000-01-06,0.8065
2000-01-07,-0.8
2000-01-10,-1.6129
2000-01-11,2.459
2000-01-12,0.8
2000-01-13,-0.7937
2000-01-14,-1.6
2000-01-18,15.4472
2000-01-19,-1.4085
2000-01-20,2.1429
2000-01-21,-2.0979
2000-01-24,8.5714
2000-01-25,0.6579
2000-01-26,3.9215999999999998
2000-01-27,0.0
2000-01-28,-3.1447
2000-01-31,-1.2987
2000-02-01,0.0
2000-02-02,-1.9737
2000-02-03,3.3557
2000-02-04,7.1429
2000-02-07,0.0
2000-02-08,6.6667
2000-02-09,10.7955
2000-02-10,6.6667
2000-02-11,-1.9231
2000-02-14,0.9804
2000-02-15,-0.9709
2000-02-16,-10.7843
2000-02-17,-3.2967
2000-02-18,-2.2727
2000-02-22,2.3256
2000-02-23,0.0
2000-02-24,-1.1364
2000-02-25,-1.7241
2000-02-28,1.1696
2000-02-29,-1.1561
2000-03-01,0.0
2000-03-02,3.5088
2000-03-03,-3.3898
2000-03-06,2.3392
2000-03-07,-2.8571
2000-03-08,1.7647
2000-03-09,2.8902
2000-03-10,-1.6854
2000-03-13,-4.0
2000-03-14,0.5952
2000-03-15,0.5917
2000-03-16,1.1764999999999999
2000-03-17,0.0
2000-03-20,-2.3256
2000-03-21,1.7856999999999998
2000-03-22,2.924
2000-03-23,-1.7045
2000-03-24,2.3121
2000-03-27,1.1299
2000-03-28,6.1453
2000-03-29,-2.6316
2000-03-30,3.2432
2000-03-31,-0.5236
2000-04-03,-0.5263
2000-04-04,-4.7619
2000-04-05,-3.3333
2000-04-06,1.1494
2000-04-07,-3.4091
2000-04-10,-1.1764999999999999
2000-04-11,-3.5714
2000-04-12,-0.6173
2000-04-13,-4.3478
2000-04-14,-2.5974
2000-04-17,2.6667
2000-04-18,-1.2987
2000-04-19,-2.6316
2000-04-20,1.3514
2000-04-24,1.3333
2000-04-25,5.2632
2000-04-26,0.0
2000-04-28,-1.25
2000-05-01,0.6329
2000-05-02,3.7736
2000-05-03,-2.4242
2000-05-04,-0.6211
2000-05-05,4.375
2000-05-08,2.9939999999999998
2000-05-09,-1.7442
2000-05-10,0.0
2000-05-11,3.5503
2000-05-12,1.1429
2000-05-15,4.5198
2000-05-16,-3.2432
2000-05-17,-0.5587
2000-05-18,-5.0562
2000-05-19,-1.7751000000000001
2000-05-22,0.0
2000-05-23,-1.2048
2000-05-24,-2.439
