ticker,TOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.0575
2000-01-04,-1.6949
2000-01-05,2.4631
2000-01-06,3.3654
2000-01-07,-2.3256
2000-01-10,-0.4762
2000-01-11,1.4354
2000-01-12,-2.8302
2000-01-13,-1.4563
2000-01-14,-0.7389
2000-01-18,0.7444
2000-01-19,-2.7094
2000-01-20,3.7975
2000-01-21,0.7317
2000-01-24,-2.6634
2000-01-25,-2.4876
2000-01-26,6.1224
2000-01-27,-1.9231
2000-01-28,-1.9607999999999999
2000-01-31,2.75
2000-02-01,0.4866
2000-02-02,2.9055999999999997
2000-02-03,0.7059
2000-02-04,-0.9346
2000-02-07,0.2358
2000-02-08,-0.2353
2000-02-09,-0.7075
2000-02-10,3.8005
2000-02-11,-1.1442
2000-02-14,-0.2315
2000-02-15,0.6961
2000-02-16,0.6912
2000-02-17,-0.2288
2000-02-18,-1.3761
2000-02-22,0.2326
2000-02-23,-1.3921000000000001
2000-02-24,1.1764999999999999
2000-02-25,-1.6279
2000-02-28,0.9456
2000-02-29,0.2342
2000-03-01,6.0748
2000-03-02,1.9824000000000002
2000-03-03,-3.0238
2000-03-06,-4.2316
2000-03-07,4.186
2000-03-08,-0.4464
2000-03-09,0.8969
2000-03-10,-0.2222
2000-03-13,-0.8909
2000-03-14,-2.2472
2000-03-15,-1.6092
2000-03-16,7.243
2000-03-17,-2.3965
2000-03-20,-0.2232
2000-03-21,3.3557
2000-03-22,-0.1905
2000-03-23,0.4348
2000-03-24,-0.4329
2000-03-27,-1.3043
2000-03-28,0.8811
2000-03-29,4.1485
2000-03-30,5.4507
2000-03-31,-2.5845000000000002
2000-04-03,-0.4082
2000-04-04,-2.2541
2000-04-05,-2.935
2000-04-06,1.9438
2000-04-07,5.0847
2000-04-10,-3.2258
2000-04-11,1.6667
2000-04-12,2.6639
2000-04-13,-0.7984
2000-04-14,1.8109
2000-04-17,0.1976
2000-04-18,0.1972
2000-04-19,1.5748
2000-04-20,-0.5814
2000-04-24,2.5341
2000-04-25,-3.0418
2000-04-26,0.7843
2000-04-27,1.9455
2000-04-28,-2.0992
2000-05-01,0.9747
2000-05-02,-1.7375
2000-05-03,-2.5540000000000003
2000-05-04,0.8065
2000-05-05,0.4
2000-05-08,-0.3984
2000-05-09,-0.4
2000-05-10,-1.2048
2000-05-11,2.8455
2000-05-12,1.581
2000-05-15,1.9455
2000-05-16,-0.9542
2000-05-17,1.3487
2000-05-18,0.3802
2000-05-19,-1.5152
