ticker,SWD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.6601
2000-01-04,-2.623
2000-01-05,-3.367
2000-01-06,1.0453
2000-01-07,-0.6897
2000-01-10,3.8194
2000-01-11,-2.3411
2000-01-12,-0.6849
2000-01-13,0.0
2000-01-14,-0.6897
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,-3.125
2000-01-21,-2.1505
2000-01-24,-4.0293
2000-01-25,-1.5267
2000-01-26,-3.1008
2000-01-27,0.0
2000-01-28,-0.8
2000-01-31,2.4194
2000-02-01,-3.1496
2000-02-02,-8.9431
2000-02-03,4.9107
2000-02-04,8.5106
2000-02-07,12.9412
2000-02-08,2.7778
2000-02-09,0.6757
2000-02-10,0.3356
2000-02-11,1.3378
2000-02-14,-3.6304
2000-02-15,2.3973
2000-02-16,1.0033
2000-02-17,9.9338
2000-02-18,-0.3012
2000-02-22,0.3021
2000-02-23,0.9036
2000-02-24,-0.597
2000-02-25,-0.3003
2000-02-28,0.3012
2000-02-29,-0.3003
2000-03-01,-0.3012
2000-03-02,0.3021
2000-03-03,-0.9036
2000-03-06,0.0
2000-03-07,0.6079
2000-03-08,0.3021
2000-03-09,0.6024
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,0.2994
2000-03-15,0.2985
2000-03-16,-0.2976
2000-03-17,0.0
2000-03-20,0.0
2000-03-21,-0.2985
2000-03-22,0.2994
2000-03-23,-0.2985
2000-03-24,0.2994
2000-03-27,0.2985
2000-03-28,-0.2976
2000-03-29,0.0
2000-03-30,-0.2985
2000-03-31,2.6946
