ticker,EWB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0204
2000-01-04,-2.9897
2000-01-05,0.4251
2000-01-06,-2.328
2000-01-07,-0.7584
2000-01-10,-4.0393
2000-01-11,-5.5745000000000005
2000-01-12,2.1687
2000-01-13,1.1792
2000-01-14,0.9324
2000-01-18,-2.6559
2000-01-19,-5.1008
2000-01-20,-2.875
2000-01-21,-0.1287
2000-01-24,2.8350999999999997
2000-01-25,-4.01
2000-01-26,6.5274
2000-01-27,0.4902
2000-01-28,-6.0976
2000-01-31,0.5195
2000-02-01,-2.1964
2000-02-02,1.1889
2000-02-03,1.5979
2000-02-04,2.0619
2000-02-07,-0.2525
2000-02-08,0.8861
2000-02-09,-1.5056
2000-02-10,-0.5096
2000-02-11,0.128
2000-02-14,-0.8951
2000-02-15,-0.129
2000-02-16,-1.938
2000-02-17,1.3175
2000-02-18,-4.0312
2000-02-22,1.897
2000-02-23,0.3989
2000-02-24,-1.1921
2000-02-25,-2.681
2000-02-28,4.5455
2000-02-29,-0.9223
2000-03-01,0.0997
2000-03-02,3.6201
2000-03-03,2.8205
2000-03-06,-0.3117
2000-03-07,0.4378
2000-03-08,-0.3736
2000-03-09,0.25
2000-03-10,0.4988
2000-03-13,-0.8685
2000-03-14,0.0
2000-03-15,2.1277
2000-03-16,7.8431
2000-03-17,0.9091
2000-03-20,-0.2252
2000-03-21,-62.5282
2000-03-22,11.747
2000-03-23,-9.434
2000-03-24,-7.7381
2000-03-27,4.5161
2000-03-28,-4.6296
2000-03-29,-4.8544
2000-03-30,7.8231
2000-03-31,0.9464
2000-04-03,2.8125
2000-04-04,-1.5198
2000-04-05,-1.8519
2000-04-06,-0.3145
2000-04-07,-1.8927
2000-04-10,-2.2508
2000-04-11,0.0
2000-04-12,-1.6447
2000-04-13,-2.3411
2000-04-14,-0.3425
2000-04-17,-7.2165
2000-04-18,6.6667
2000-04-19,-2.4306
2000-04-20,1.0676
2000-04-24,2.1127
2000-04-25,7.2414
2000-04-26,11.254
2000-04-27,0.0
2000-04-28,2.8902
2000-05-01,8.1461
2000-05-02,-5.1948
2000-05-03,-7.6712
2000-05-04,1.7804
2000-05-05,1.8192
2000-05-08,2.5937
2000-05-09,-1.9663
2000-05-10,-0.8596
2000-05-11,0.289
2000-05-12,-0.5764
2000-05-15,8.9855
2000-05-16,4.5213
2000-05-17,0.0
2000-05-18,-0.2545
2000-05-19,1.0204
2000-05-22,0.2525
2000-05-23,0.7557
2000-05-24,-0.5
